来源：人民日报语料库			
制作：北京语言大学-汉语国际教育技术研发中心 http://nlp.blcu.edu.cn			
汉字	出现次数	频率	累计频率
荣	57787	0.0003218940 	0.8449130766 
阳	57519	0.0003204011 	0.8452334777 
剧	57366	0.0003195489 	0.8455530266 
互	57333	0.0003193650 	0.8458723916 
份	57250	0.0003189027 	0.8461912943 
旅	57158	0.0003183902 	0.8465096845 
典	57144	0.0003183122 	0.8468279967 
略	57079	0.0003179502 	0.8471459469 
配	57027	0.0003176605 	0.8474636074 
贫	56947	0.0003172149 	0.8477808223 
药	56937	0.0003171592 	0.8480979815 
融	56875	0.0003168138 	0.8484147953 
督	56840	0.0003166189 	0.8487314142 
曾	56202	0.0003130650 	0.8490444792 
田	56183	0.0003129591 	0.8493574383 
减	56090	0.0003124411 	0.8496698794 
待	56013	0.0003120122 	0.8499818916 
景	55997	0.0003119230 	0.8502938146 
竞	55784	0.0003107366 	0.8506045512 
尼	55619	0.0003098175 	0.8509143687 
七	54985	0.0003062859 	0.8512206546 
波	54877	0.0003056843 	0.8515263389 
离	54782	0.0003051551 	0.8518314940 
降	54748	0.0003049657 	0.8521364597 
庆	54745	0.0003049490 	0.8524414087 
超	54223	0.0003020412 	0.8527434499 
座	54162	0.0003017014 	0.8530451513 
飞	53943	0.0003004815 	0.8533456328 
额	53908	0.0003002866 	0.8536459194 
令	53825	0.0002998242 	0.8539457436 
却	53788	0.0002996181 	0.8542453617 
愿	53699	0.0002991224 	0.8545444841 
福	53615	0.0002986545 	0.8548431386 
且	53404	0.0002974791 	0.8551406177 
苏	53349	0.0002971728 	0.8554377905 
抗	52957	0.0002949892 	0.8557327797 
树	52822	0.0002942372 	0.8560270169 
货	52749	0.0002938305 	0.8563208474 
盟	52606	0.0002930340 	0.8566138814 
器	52595	0.0002929727 	0.8569068541 
馆	52469	0.0002922708 	0.8571991249 
像	52203	0.0002907891 	0.8574899140 
龙	52102	0.0002902265 	0.8577801405 
控	52046	0.0002899146 	0.8580700551 
星	51999	0.0002896528 	0.8583597079 
烈	51952	0.0002893910 	0.8586490989 
牌	51930	0.0002892684 	0.8589383673 
宁	51926	0.0002892461 	0.8592276134 
派	51874	0.0002889565 	0.8595165699 
股	51859	0.0002888729 	0.8598054428 
湖	51801	0.0002885498 	0.8600939926 
粮	51546	0.0002871294 	0.8603811220 
扩	51397	0.0002862994 	0.8606674214 
止	51303	0.0002857758 	0.8609531972 
适	51187	0.0002851297 	0.8612383269 
纳	50816	0.0002830630 	0.8615213899 
送	50623	0.0002819880 	0.8618033779 
售	50396	0.0002807235 	0.8620841014 
印	50363	0.0002805397 	0.8623646411 
画	50287	0.0002801163 	0.8626447574 
试	50094	0.0002790413 	0.8629237987 
判	49925	0.0002780999 	0.8632018986 
写	49713	0.0002769190 	0.8634788176 
介	49519	0.0002758383 	0.8637546559 
灾	49276	0.0002744847 	0.8640291406 
例	49262	0.0002744067 	0.8643035473 
购	49226	0.0002742062 	0.8645777535 
伟	49107	0.0002735433 	0.8648512968 
沙	49072	0.0002733484 	0.8651246452 
独	48850	0.0002721117 	0.8653967569 
澳	48718	0.0002713764 	0.8656681333 
章	48682	0.0002711759 	0.8659393092 
底	48553	0.0002704573 	0.8662097665 
讨	48549	0.0002704351 	0.8664802016 
午	48471	0.0002700006 	0.8667502022 
苦	48353	0.0002693433 	0.8670195455 
票	48285	0.0002689645 	0.8672885100 
迎	48146	0.0002681902 	0.8675567002 
临	47892	0.0002667753 	0.8678234755 
湾	47759	0.0002660345 	0.8680895100 
针	47660	0.0002654830 	0.8683549930 
仍	47628	0.0002653048 	0.8686202978 
早	47608	0.0002651934 	0.8688854912 
阶	47551	0.0002648758 	0.8691503670 
犯	47550	0.0002648703 	0.8694152373 
留	47516	0.0002646809 	0.8696799182 
害	47487	0.0002645193 	0.8699444375 
听	47395	0.0002640069 	0.8702084444 
置	47197	0.0002629039 	0.8704713483 
邓	47158	0.0002626867 	0.8707340350 
密	46793	0.0002606535 	0.8709946885 
卡	46772	0.0002605365 	0.8712552250 
搞	46767	0.0002605087 	0.8715157337 
眼	46740	0.0002603583 	0.8717760920 
航	46735	0.0002603304 	0.8720364224 
园	46650	0.0002598570 	0.8722962794 
属	46593	0.0002595394 	0.8725558188 
轻	46467	0.0002588376 	0.8728146564 
黑	46398	0.0002584532 	0.8730731096 
草	46204	0.0002573726 	0.8733304822 
洪	46070	0.0002566262 	0.8735871084 
欢	45820	0.0002552336 	0.8738423420 
予	45795	0.0002550943 	0.8740974363 
奥	45704	0.0002545874 	0.8743520237 
升	45634	0.0002541975 	0.8746062212 
驻	45469	0.0002532784 	0.8748594996 
著	45469	0.0002532784 	0.8751127780 
祖	45420	0.0002530054 	0.8753657834 
岗	45201	0.0002517855 	0.8756175689 
晚	45166	0.0002515906 	0.8758691595 
藏	44981	0.0002505600 	0.8761197195 
索	44911	0.0002501701 	0.8763698896 
雨	44784	0.0002494627 	0.8766193523 
读	44670	0.0002488277 	0.8768681800 
岁	44626	0.0002485826 	0.8771167626 
靠	44428	0.0002474796 	0.8773642422 
绍	44045	0.0002453462 	0.8776095884 
帮	43626	0.0002430122 	0.8778526006 
音	43352	0.0002414859 	0.8780940865 
温	43241	0.0002408676 	0.8783349541 
征	43208	0.0002406838 	0.8785756379 
丰	43128	0.0002402382 	0.8788158761 
编	43053	0.0002398204 	0.8790556965 
状	43013	0.0002395976 	0.8792952941 
危	42864	0.0002387676 	0.8795340617 
练	42726	0.0002379989 	0.8797720606 
室	42621	0.0002374140 	0.8800094746 
贯	42568	0.0002371188 	0.8802465934 
召	42543	0.0002369795 	0.8804835729 
朝	42509	0.0002367901 	0.8807203630 
买	42429	0.0002363445 	0.8809567075 
巨	42423	0.0002363111 	0.8811930186 
激	42327	0.0002357763 	0.8814287949 
逐	42324	0.0002357596 	0.8816645545 
刚	42002	0.0002339660 	0.8818985205 
候	41895	0.0002333699 	0.8821318904 
毛	41720	0.0002323951 	0.8823642855 
罪	41696	0.0002322614 	0.8825965469 
久	41642	0.0002319606 	0.8828285075 
摄	41543	0.0002314092 	0.8830599167 
歌	41409	0.0002306627 	0.8832905794 
障	41169	0.0002293259 	0.8835199053 
括	41165	0.0002293036 	0.8837492089 
奋	41146	0.0002291977 	0.8839784066 
违	41002	0.0002283956 	0.8842068022 
扬	40696	0.0002266911 	0.8844334933 
签	40665	0.0002265184 	0.8846600117 
彻	40620	0.0002262677 	0.8848862794 
故	40329	0.0002246468 	0.8851109262 
既	40313	0.0002245576 	0.8853354838 
汇	40288	0.0002244184 	0.8855599022 
材	40252	0.0002242178 	0.8857841200 
汉	40156	0.0002236831 	0.8860078031 
哈	40143	0.0002236107 	0.8862314138 
鲜	40115	0.0002234547 	0.8864548685 
秀	40000	0.0002228141 	0.8866776826 
庭	39988	0.0002227473 	0.8869004299 
顿	39757	0.0002214605 	0.8871218904 
序	39600	0.0002205860 	0.8873424764 
顾	39577	0.0002204579 	0.8875629343 
绩	39525	0.0002201682 	0.8877831025 
刻	39451	0.0002197560 	0.8880028585 
救	39401	0.0002194775 	0.8882223360 
遇	39295	0.0002188870 	0.8884412230 
损	39273	0.0002187645 	0.8886599875 
妇	39081	0.0002176950 	0.8888776825 
私	39041	0.0002174721 	0.8890951546 
践	39040	0.0002174666 	0.8893126212 
某	39024	0.0002173774 	0.8895299986 
宝	38801	0.0002161353 	0.8897461339 
束	38751	0.0002158567 	0.8899619906 
威	38726	0.0002157175 	0.8901777081 
换	38718	0.0002156729 	0.8903933810 
贷	38319	0.0002134503 	0.8906068313 
永	38253	0.0002130827 	0.8908199140 
韩	38002	0.0002116845 	0.8910315985 
招	37855	0.0002108657 	0.8912424642 
坦	37830	0.0002107264 	0.8914531906 
绝	37807	0.0002105983 	0.8916637889 
汽	37763	0.0002103532 	0.8918741421 
博	37745	0.0002102530 	0.8920843951 
贵	37576	0.0002093116 	0.8922937067 
登	37565	0.0002092503 	0.8925029570 
吴	37541	0.0002091166 	0.8927120736 
舞	37537	0.0002090943 	0.8929211679 
轮	37347	0.0002080360 	0.8931292039 
语	37312	0.0002078410 	0.8933370449 
够	37281	0.0002076683 	0.8935447132 
署	37250	0.0002074956 	0.8937522088 
探	37129	0.0002068216 	0.8939590304 
补	37003	0.0002061198 	0.8941651502 
差	36981	0.0002059972 	0.8943711474 
移	36980	0.0002059916 	0.8945771390 
杨	36978	0.0002059805 	0.8947831195 
另	36929	0.0002057076 	0.8949888271 
映	36791	0.0002049389 	0.8951937660 
疗	36761	0.0002047717 	0.8953985377 
综	36516	0.0002034070 	0.8956019447 
顺	36310	0.0002022595 	0.8958042042 
死	36253	0.0002019420 	0.8960061462 
脑	36234	0.0002018362 	0.8962079824 
吃	36095	0.0002010619 	0.8964090443 
诉	36007	0.0002005717 	0.8966096160 
库	35939	0.0002001929 	0.8968098089 
急	35921	0.0002000926 	0.8970099015 
繁	35783	0.0001993239 	0.8972092254 
假	35736	0.0001990621 	0.8974082875 
喜	35723	0.0001989897 	0.8976072772 
觉	35680	0.0001987502 	0.8978060274 
木	35647	0.0001985664 	0.8980045938 
幕	35330	0.0001968006 	0.8982013944 
退	35308	0.0001966780 	0.8983980724 
吉	35290	0.0001965778 	0.8985946502 
托	35220	0.0001961878 	0.8987908380 
孩	35144	0.0001957645 	0.8989866025 
绿	35096	0.0001954971 	0.8991820996 
录	34815	0.0001939318 	0.8993760314 
播	34791	0.0001937981 	0.8995698295 
伍	34637	0.0001929403 	0.8997627698 
岸	34519	0.0001922830 	0.8999550528 
否	34500	0.0001921772 	0.9001472300 
找	34411	0.0001916814 	0.9003389114 
短	34375	0.0001914809 	0.9005303923 
述	34309	0.0001911132 	0.9007215055 
川	34257	0.0001908236 	0.9009123291 
缺	34221	0.0001906230 	0.9011029521 
免	34206	0.0001905395 	0.9012934916 
朱	34013	0.0001894644 	0.9014829560 
彩	34013	0.0001894644 	0.9016724204 
拿	34010	0.0001894477 	0.9018618681 
冲	33858	0.0001886010 	0.9020504691 
奇	33790	0.0001882222 	0.9022386913 
申	33712	0.0001877877 	0.9024264790 
呼	33649	0.0001874368 	0.9026139158 
停	33581	0.0001870580 	0.9028009738 
岛	33525	0.0001867461 	0.9029877199 
胡	33471	0.0001864453 	0.9031741652 
套	33450	0.0001863283 	0.9033604935 
男	33438	0.0001862615 	0.9035467550 
店	33397	0.0001860331 	0.9037327881 
授	33294	0.0001854593 	0.9039182474 
贡	33210	0.0001849914 	0.9041032388 
压	33164	0.0001847352 	0.9042879740 
染	33107	0.0001844177 	0.9044723917 
归	32996	0.0001837994 	0.9046561911 
雷	32978	0.0001836991 	0.9048398902 
币	32946	0.0001835208 	0.9050234110 
纷	32930	0.0001834317 	0.9052068427 
败	32918	0.0001833649 	0.9053902076 
吸	32852	0.0001829972 	0.9055732048 
亩	32689	0.0001820893 	0.9057552941 
扶	32542	0.0001812704 	0.9059365645 
测	32535	0.0001812314 	0.9061177959 
虽	32401	0.0001804850 	0.9062982809 
简	32067	0.0001786245 	0.9064769054 
追	32032	0.0001784295 	0.9066553349 
鼓	31858	0.0001774603 	0.9068327952 
植	31793	0.0001770982 	0.9070098934 
菜	31716	0.0001766693 	0.9071865627 
瑞	31703	0.0001765969 	0.9073631596 
毒	31436	0.0001751096 	0.9075382692 
洋	31358	0.0001746751 	0.9077129443 
艰	31325	0.0001744913 	0.9078874356 
街	31211	0.0001738563 	0.9080612919 
卖	31103	0.0001732547 	0.9082345466 
赞	31026	0.0001728258 	0.9084073724 
津	31023	0.0001728091 	0.9085801815 
固	31010	0.0001727366 	0.9087529181 
拥	30964	0.0001724804 	0.9089253985 
桥	30906	0.0001721573 	0.9090975558 
输	30848	0.0001718342 	0.9092693900 
筑	30816	0.0001716560 	0.9094410460 
塞	30779	0.0001714499 	0.9096124959 
幅	30749	0.0001712828 	0.9097837787 
励	30693	0.0001709708 	0.9099547495 
伤	30618	0.0001705531 	0.9101253026 
细	30610	0.0001705085 	0.9102958111 
锦	30605	0.0001704806 	0.9104662917 
陆	30511	0.0001699570 	0.9106362487 
守	30466	0.0001697064 	0.9108059551 
楼	30435	0.0001695337 	0.9109754888 
血	30289	0.0001687204 	0.9111442092 
盛	30245	0.0001684753 	0.9113126845 
吨	30241	0.0001684530 	0.9114811375 
萨	30183	0.0001681300 	0.9116492675 
童	30116	0.0001677567 	0.9118170242 
谢	29946	0.0001668098 	0.9119838340 
角	29847	0.0001662583 	0.9121500923 
宏	29699	0.0001654339 	0.9123155262 
怀	29614	0.0001649604 	0.9124804866 
曲	29592	0.0001648379 	0.9126453245 
污	29426	0.0001639132 	0.9128092377 
夜	29269	0.0001630387 	0.9129722764 
笔	29198	0.0001626432 	0.9131349196 
堂	29187	0.0001625819 	0.9132975015 
季	29042	0.0001617742 	0.9134592757 
订	28984	0.0001614511 	0.9136207268 
蒙	28747	0.0001601309 	0.9137808577 
塔	28731	0.0001600418 	0.9139408995 
甚	28689	0.0001598079 	0.9141007074 
筹	28667	0.0001596853 	0.9142603927 
鲁	28641	0.0001595405 	0.9144199332 
厅	28594	0.0001592787 	0.9145792119 
杂	28519	0.0001588609 	0.9147380728 
孙	28434	0.0001583874 	0.9148964602 
玉	28419	0.0001583039 	0.9150547641 
矿	28306	0.0001576744 	0.9152124385 
课	28220	0.0001571954 	0.9153696339 
船	28207	0.0001571229 	0.9155267568 
瓦	28037	0.0001561760 	0.9156829328 
旗	28033	0.0001561537 	0.9158390865 
钢	28012	0.0001560367 	0.9159951232 
松	27807	0.0001548948 	0.9161500180 
泛	27804	0.0001548781 	0.9163048961 
乱	27783	0.0001547611 	0.9164596572 
左	27662	0.0001540871 	0.9166137443 
脱	27650	0.0001540203 	0.9167677646 
夏	27453	0.0001529229 	0.9169206875 
攻	27446	0.0001528839 	0.9170735714 
祝	27434	0.0001528171 	0.9172263885 
森	27381	0.0001525218 	0.9173789103 
握	27361	0.0001524104 	0.9175313207 
泰	27291	0.0001520205 	0.9176833412 
延	27261	0.0001518534 	0.9178351946 
兼	27218	0.0001516139 	0.9179868085 
尚	27001	0.0001504051 	0.9181372136 
秘	26963	0.0001501934 	0.9182874070 
振	26946	0.0001500987 	0.9184375057 
仪	26922	0.0001499650 	0.9185874707 
援	26691	0.0001486783 	0.9187361490 
宗	26691	0.0001486783 	0.9188848273 
付	26686	0.0001486504 	0.9190334777 
债	26675	0.0001485892 	0.9191820669 
乌	26531	0.0001477870 	0.9193298539 
禁	26483	0.0001475197 	0.9194773736 
右	26461	0.0001473971 	0.9196247707 
启	26431	0.0001472300 	0.9197720007 
遍	26360	0.0001468345 	0.9199188352 
涉	26292	0.0001464557 	0.9200652909 
借	26217	0.0001460379 	0.9202113288 
络	26168	0.0001457650 	0.9203570938 
雪	26105	0.0001454141 	0.9205025079 
雄	26102	0.0001453973 	0.9206479052 
答	26064	0.0001451857 	0.9207930909 
冠	25991	0.0001447790 	0.9209378699 
齐	25978	0.0001447066 	0.9210825765 
叶	25954	0.0001445729 	0.9212271494 
辉	25888	0.0001442053 	0.9213713547 
附	25862	0.0001440605 	0.9215154152 
诺	25590	0.0001425453 	0.9216579605 
散	25508	0.0001420886 	0.9218000491 
刊	25465	0.0001418490 	0.9219418981 
途	25402	0.0001414981 	0.9220833962 
勇	25386	0.0001414090 	0.9222248052 
勒	25315	0.0001410135 	0.9223658187 
哥	25309	0.0001409801 	0.9225067988 
键	25195	0.0001403450 	0.9226471438 
夺	25159	0.0001401445 	0.9227872883 
智	25101	0.0001398214 	0.9229271097 
杰	25056	0.0001395708 	0.9230666805 
徐	25011	0.0001393201 	0.9232060006 
赵	24886	0.0001386238 	0.9233446244 
般	24737	0.0001377938 	0.9234824182 
诗	24722	0.0001377103 	0.9236201285 
母	24513	0.0001365461 	0.9237566746 
乎	24362	0.0001357049 	0.9238923795 
钟	24328	0.0001355155 	0.9240278950 
庄	24303	0.0001353763 	0.9241632713 
丽	24262	0.0001351479 	0.9242984192 
勤	24228	0.0001349585 	0.9244333777 
迅	24168	0.0001346243 	0.9245680020 
怎	24159	0.0001345742 	0.9247025762 
潮	24062	0.0001340338 	0.9248366100 
封	24030	0.0001338556 	0.9249704656 
择	24003	0.0001337052 	0.9251041708 
莫	23730	0.0001321845 	0.9252363553 
毕	23607	0.0001314993 	0.9253678546 
沿	23604	0.0001314826 	0.9254993372 
裁	23539	0.0001311205 	0.9256304577 
跨	23534	0.0001310927 	0.9257615504 
抵	23469	0.0001307306 	0.9258922810 
残	23432	0.0001305245 	0.9260228055 
累	23417	0.0001304410 	0.9261532465 
烟	23380	0.0001302348 	0.9262834813 
灵	23365	0.0001301513 	0.9264136326 
似	23352	0.0001300789 	0.9265437115 
聚	23283	0.0001296945 	0.9266734060 
腐	23283	0.0001296945 	0.9268031005 
誉	23059	0.0001284468 	0.9269315473 
酒	22955	0.0001278674 	0.9270594147 
煤	22926	0.0001277059 	0.9271871206 
休	22918	0.0001276613 	0.9273147819 
疾	22871	0.0001273995 	0.9274421814 
患	22863	0.0001273550 	0.9275695364 
郑	22763	0.0001267979 	0.9276963343 
析	22668	0.0001262688 	0.9278226031 
捐	22644	0.0001261351 	0.9279487382 
冷	22642	0.0001261239 	0.9280748621 
戏	22619	0.0001259958 	0.9282008579 
斤	22603	0.0001259067 	0.9283267646 
符	22533	0.0001255168 	0.9284522814 
诚	22529	0.0001254945 	0.9285777759 
扎	22529	0.0001254945 	0.9287032704 
味	22396	0.0001247536 	0.9288280240 
阵	22259	0.0001239905 	0.9289520145 
抢	22247	0.0001239236 	0.9290759381 
野	22212	0.0001237287 	0.9291996668 
旧	22121	0.0001232218 	0.9293228886 
礼	22115	0.0001231884 	0.9294460770 
亮	22105	0.0001231326 	0.9295692096 
尊	22038	0.0001227594 	0.9296919690 
邀	22030	0.0001227149 	0.9298146839 
晓	21911	0.0001220520 	0.9299367359 
昌	21907	0.0001220297 	0.9300587656 
拓	21904	0.0001220130 	0.9301807786 
遗	21882	0.0001218905 	0.9303026691 
邮	21791	0.0001213836 	0.9304240527 
趋	21783	0.0001213390 	0.9305453917 
唱	21567	0.0001201358 	0.9306655275 
牛	21553	0.0001200578 	0.9307855853 
悉	21531	0.0001199353 	0.9309055206 
储	21493	0.0001197236 	0.9310252442 
射	21481	0.0001196567 	0.9311449009 
棉	21459	0.0001195342 	0.9312644351 
架	21450	0.0001194841 	0.9313839192 
辆	21431	0.0001193782 	0.9315032974 
尤	21409	0.0001192557 	0.9316225531 
露	21351	0.0001189326 	0.9317414857 
盾	21350	0.0001189270 	0.9318604127 
错	21342	0.0001188825 	0.9319792952 
棋	21217	0.0001181862 	0.9320974814 
恢	21201	0.0001180971 	0.9322155785 
邦	21126	0.0001176793 	0.9323332578 
背	21090	0.0001174787 	0.9324507365 
厚	21078	0.0001174119 	0.9325681484 
微	21071	0.0001173729 	0.9326855213 
宾	21051	0.0001172615 	0.9328027828 
峰	21043	0.0001172169 	0.9329199997 
晴	21020	0.0001170888 	0.9330370885 
误	21016	0.0001170665 	0.9331541550 
饭	20994	0.0001169440 	0.9332710990 
谁	20991	0.0001169273 	0.9333880263 
纸	20980	0.0001168660 	0.9335048923 
埃	20964	0.0001167769 	0.9336216692 
佳	20885	0.0001163368 	0.9337380060 
览	20854	0.0001161641 	0.9338541701 
掌	20839	0.0001160806 	0.9339702507 
倒	20826	0.0001160082 	0.9340862589 
忠	20771	0.0001157018 	0.9342019607 
篇	20735	0.0001155013 	0.9343174620 
坏	20659	0.0001150779 	0.9344325399 
载	20633	0.0001149331 	0.9345474730 
廉	20609	0.0001147994 	0.9346622724 
异	20546	0.0001144485 	0.9347767209 
黎	20512	0.0001142591 	0.9348909800 
挑	20512	0.0001142591 	0.9350052391 
父	20479	0.0001140753 	0.9351193144 
谋	20478	0.0001140697 	0.9352333841 
券	20360	0.0001134124 	0.9353467965 
杯	20343	0.0001133177 	0.9354601142 
块	20321	0.0001131951 	0.9355733093 
疑	20258	0.0001128442 	0.9356861535 
刑	20214	0.0001125991 	0.9357987526 
盘	20186	0.0001124431 	0.9359111957 
哪	20085	0.0001118805 	0.9360230762 
恩	20084	0.0001118750 	0.9361349512 
疆	20056	0.0001117190 	0.9362466702 
侵	20018	0.0001115073 	0.9363581775 
迹	20005	0.0001114349 	0.9364696124 
径	19995	0.0001113792 	0.9365809916 
震	19899	0.0001108445 	0.9366918361 
秋	19897	0.0001108333 	0.9368026694 
奉	19757	0.0001100535 	0.9369127229 
惠	19756	0.0001100479 	0.9370227708 
冬	19749	0.0001100089 	0.9371327797 
含	19635	0.0001093739 	0.9372421536 
伦	19588	0.0001091121 	0.9373512657 
弹	19567	0.0001089951 	0.9374602608 
宽	19535	0.0001088168 	0.9375690776 
梅	19520	0.0001087333 	0.9376778109 
罚	19506	0.0001086553 	0.9377864662 
虑	19491	0.0001085717 	0.9378950379 
壮	19426	0.0001082097 	0.9380032476 
涛	19364	0.0001078643 	0.9381111119 
峡	19316	0.0001075969 	0.9382187088 
寻	19302	0.0001075190 	0.9383262278 
距	19291	0.0001074577 	0.9384336855 
矛	19267	0.0001073240 	0.9385410095 
享	19175	0.0001068115 	0.9386478210 
叫	19087	0.0001063213 	0.9387541423 
端	19087	0.0001063213 	0.9388604636 
贺	19018	0.0001059370 	0.9389664006 
麦	18966	0.0001056473 	0.9390720479 
板	18945	0.0001055303 	0.9391775782 
伯	18891	0.0001052295 	0.9392828077 
操	18840	0.0001049454 	0.9393877531 
盖	18837	0.0001049287 	0.9394926818 
词	18787	0.0001046502 	0.9395973320 
耕	18765	0.0001045277 	0.9397018597 
跃	18743	0.0001044051 	0.9398062648 
倍	18727	0.0001043160 	0.9399105808 
暴	18725	0.0001043049 	0.9400148857 
董	18703	0.0001041823 	0.9401190680 
亡	18668	0.0001039873 	0.9402230553 
笑	18666	0.0001039762 	0.9403270315 
挂	18659	0.0001039372 	0.9404309687 
弱	18640	0.0001038314 	0.9405348001 
辽	18632	0.0001037868 	0.9406385869 
胞	18604	0.0001036308 	0.9407422177 
迫	18604	0.0001036308 	0.9408458485 
唐	18581	0.0001035027 	0.9409493512 
坐	18523	0.0001031796 	0.9410525308 
亏	18467	0.0001028677 	0.9411553985 
坡	18452	0.0001027842 	0.9412581827 
洁	18450	0.0001027730 	0.9413609557 
肥	18442	0.0001027284 	0.9414636841 
骨	18434	0.0001026839 	0.9415663680 
宜	18345	0.0001021881 	0.9416685561 
伙	18324	0.0001020711 	0.9417706272 
洛	18270	0.0001017703 	0.9418723975 
软	18266	0.0001017481 	0.9419741456 
朋	18215	0.0001014640 	0.9420756096 
硬	18186	0.0001013024 	0.9421769120 
鉴	18175	0.0001012412 	0.9422781532 
透	18174	0.0001012356 	0.9423793888 
偿	18170	0.0001012133 	0.9424806021 
乘	18132	0.0001010016 	0.9425816037 
衡	18119	0.0001009292 	0.9426825329 
遭	18051	0.0001005504 	0.9427830833 
梁	18026	0.0001004112 	0.9428834945 
宪	18022	0.0001003889 	0.9429838834 
鱼	17976	0.0001001327 	0.9430840161 
零	17962	0.0001000547 	0.9431840708 
冰	17944	0.0000999544 	0.9432840252 
赶	17939	0.0000999266 	0.9433839518 
呢	17903	0.0000997260 	0.9434836778 
熟	17892	0.0000996648 	0.9435833426 
丹	17801	0.0000991579 	0.9436825005 
珍	17721	0.0000987122 	0.9437812127 
殊	17699	0.0000985897 	0.9438798024 
若	17691	0.0000985451 	0.9439783475 
忘	17649	0.0000983112 	0.9440766587 
避	17638	0.0000982499 	0.9441749086 
浪	17606	0.0000980716 	0.9442729802 
贝	17582	0.0000979379 	0.9443709181 
牧	17528	0.0000976371 	0.9444685552 
沈	17525	0.0000976204 	0.9445661756 
卢	17511	0.0000975424 	0.9446637180 
恶	17507	0.0000975202 	0.9447612382 
衣	17468	0.0000973029 	0.9448585411 
伴	17431	0.0000970968 	0.9449556379 
竟	17391	0.0000968740 	0.9450525119 
摆	17375	0.0000967849 	0.9451492968 
皮	17291	0.0000963170 	0.9452456138 
拍	17289	0.0000963058 	0.9453419196 
潜	17089	0.0000951918 	0.9454371114 
墨	17079	0.0000951361 	0.9455322475 
阴	17071	0.0000950915 	0.9456273390 
隆	16999	0.0000946904 	0.9457220294 
闭	16992	0.0000946514 	0.9458166808 
穿	16962	0.0000944843 	0.9459111651 
迪	16959	0.0000944676 	0.9460056327 
浙	16863	0.0000939329 	0.9460995656 
概	16801	0.0000935875 	0.9461931531 
杀	16774	0.0000934371 	0.9462865902 
翻	16749	0.0000932978 	0.9463798880 
沉	16730	0.0000931920 	0.9464730800 
赴	16686	0.0000929469 	0.9465660269 
牙	16661	0.0000928076 	0.9466588345 
静	16637	0.0000926740 	0.9467515085 
莱	16603	0.0000924846 	0.9468439931 
曼	16590	0.0000924122 	0.9469364053 
缓	16529	0.0000920724 	0.9470284777 
肯	16490	0.0000918551 	0.9471203328 
疫	16456	0.0000916657 	0.9472119985 
杜	16446	0.0000916100 	0.9473036085 
凡	16421	0.0000914708 	0.9473950793 
折	16420	0.0000914652 	0.9474865445 
姓	16363	0.0000911477 	0.9475776922 
朗	16259	0.0000905684 	0.9476682606 
纯	16256	0.0000905517 	0.9477588123 
渐	16181	0.0000901339 	0.9478489462 
绕	16129	0.0000898442 	0.9479387904 
敬	16110	0.0000897384 	0.9480285288 
肃	16084	0.0000895936 	0.9481181224 
脚	16062	0.0000894710 	0.9482075934 
跑	16043	0.0000893652 	0.9482969586 
龄	16039	0.0000893429 	0.9483863015 
谊	15951	0.0000888527 	0.9484751542 
贴	15931	0.0000887413 	0.9485638955 
坛	15813	0.0000880840 	0.9486519795 
卷	15798	0.0000880004 	0.9487399799 
井	15792	0.0000879670 	0.9488279469 
仁	15727	0.0000876049 	0.9489155518 
拔	15723	0.0000875827 	0.9490031345 
丁	15686	0.0000873766 	0.9490905111 
圳	15681	0.0000873487 	0.9491778598 
秩	15678	0.0000873320 	0.9492651918 
唯	15602	0.0000869086 	0.9493521004 
句	15596	0.0000868752 	0.9494389756 
册	15583	0.0000868028 	0.9495257784 
润	15573	0.0000867471 	0.9496125255 
荒	15517	0.0000864352 	0.9496989607 
末	15488	0.0000862736 	0.9497852343 
痛	15456	0.0000860954 	0.9498713297 
惊	15442	0.0000860174 	0.9499573471 
询	15414	0.0000858614 	0.9500432085 
缩	15354	0.0000855272 	0.9501287357 
乔	15346	0.0000854826 	0.9502142183 
泉	15330	0.0000853935 	0.9502996118 
姆	15297	0.0000852097 	0.9503848215 
宋	15285	0.0000851428 	0.9504699643 
渠	15255	0.0000849757 	0.9505549400 
旦	15245	0.0000849200 	0.9506398600 
谷	15220	0.0000847808 	0.9507246408 
爆	15209	0.0000847195 	0.9508093603 
肉	15206	0.0000847028 	0.9508940631 
甘	15079	0.0000839954 	0.9509780585 
敢	15061	0.0000838951 	0.9510619536 
炸	15019	0.0000836611 	0.9511456147 
媒	14958	0.0000833213 	0.9512289360 
偏	14929	0.0000831598 	0.9513120958 
幸	14897	0.0000829815 	0.9513950773 
锋	14876	0.0000828646 	0.9514779419 
怕	14864	0.0000827977 	0.9515607396 
截	14820	0.0000825526 	0.9516432922 
乏	14768	0.0000822630 	0.9517255552 
珠	14756	0.0000821961 	0.9518077513 
伐	14745	0.0000821349 	0.9518898862 
渡	14666	0.0000816948 	0.9519715810 
轨	14643	0.0000815667 	0.9520531477 
辛	14614	0.0000814051 	0.9521345528 
租	14611	0.0000813884 	0.9522159412 
谓	14535	0.0000809651 	0.9522969063 
摩	14525	0.0000809094 	0.9523778157 
倡	14447	0.0000804749 	0.9524582906 
顶	14406	0.0000802465 	0.9525385371 
倾	14297	0.0000796393 	0.9526181764 
雅	14277	0.0000795279 	0.9526977043 
阔	14239	0.0000793163 	0.9527770206 
返	14218	0.0000791993 	0.9528562199 
灯	14203	0.0000791157 	0.9529353356 
宫	14092	0.0000784974 	0.9530138330 
