unicode	汉字	频率	旧频率	拼音
\u6751	村	11088	11088	cun
\u5f0f	式	11075	11075	shi
\u7a7a	空	10992	10992	kong
\u6bdb	毛	10978	10978	mao
\u5c71	山	10951	10951	shan
\u4e3b	主	10842	10842	zhu
\u53e6	另	10842	10842	ling
\u4f10	伐	10721	10721	fa
\u95f4	间	10668	10668	jian
\u5165	入	10589	10589	ru
\u5360	占	10562	10562	zhan
\u8d34	贴	10562	10562	tie
\u723d	爽	10536	10536	shuang
\u76d8	盘	10536	10536	pan
\u8d5a	赚	10432	11018	zhuan/zuan
\u5f80	往	10406	10406	wang
\u961f	队	10367	10367	dui
\u6768	杨	10328	10328	yang
\u7247	片	10277	10277	pian
\u72d7	狗	10200	10200	gou
\u56fd	国	10112	10112	guo
\u574f	坏	10112	10112	huai
\u8d39	费	10112	10112	fei
\u5c81	岁	10074	10074	sui
\u8840	血	10049	10568	xie/xue
\u79bb	离	9937	9937	li
\u897f	西	9937	9937	xi
\u5171	共	9924	9924	gong
\u9f99	龙	9924	9924	long
\u660e	明	9887	9887	ming
\u5988	妈	9875	9875	ma
\u8d85	超	9875	9875	chao
\u5747	均	9826	9826	jun
\u5207	切	9716	9716	qie
\u671f	期	9716	9745	ji/qi
\u7167	照	9704	9704	zhao
\u8fbe	达	9692	9692	da
\u7559	留	9584	9584	liu
\u7279	特	9524	9524	te
\u52a8	动	9465	9465	dong
\u6c14	气	9442	9442	qi
\u54e5	哥	9418	9418	ge
\u795e	神	9418	9418	shen
\u9e1f	鸟	9418	9431	diao/niao
\u6559	教	9371	9371	jiao
\u7518	甘	9371	9371	gan
\u68a6	梦	9302	9302	meng
\u86ee	蛮	9290	9290	man
\u5514	唔	9244	11496	en/ng/wu
\u503c	值	9175	9175	zhi
\u9c7c	鱼	9175	9175	yu
\u9a82	骂	9163	9163	ma
\u966a	陪	9129	9129	pei
\u65e2	既	9095	9095	ji
\u54ed	哭	9073	9073	ku
\u9547	镇	9073	9073	zhen
\u5efa	建	9016	9016	jian
\u6d17	洗	9016	9022	xi/xian
\u529b	力	8983	8983	li
\u61c2	懂	8960	8960	dong
\u53cc	双	8838	8838	shuang
\u53e3	口	8827	8827	kou
\u6307	指	8783	8783	zhi
\u8dcc	跌	8772	8772	die
\u4ecd	仍	8751	8751	reng
\u6d3b	活	8740	8740	huo
\u7403	球	8740	8740	qiu
\u7ec3	练	8718	8718	lian
\u4e1c	东	8696	8696	dong
\u63d0	提	8578	8584	di/ti
\u6e05	清	8578	8578	qing
\u4ebf	亿	8567	8567	yi
\u9664	除	8546	8546	chu
\u4e91	云	8398	8398	yun
\u901a	通	8398	8398	tong
\u9152	酒	8304	8304	jiu
\u51b2	冲	8294	8294	chong
\u997f	饿	8284	8284	e
\u732b	猫	8212	8212	mao
\u54a9	咩	8191	8191	mie
\u7968	票	8191	8191	piao
\u5047	假	8140	8140	jia
\u4e45	久	8100	8100	jiu
\u516d	六	8090	8098	liu/lu
\u75c5	病	8090	8090	bing
\u753b	画	8040	8040	hua
\u6293	抓	8029	8029	zhua
\u5457	呗	8019	8328	bai/bei
\u66fe	曾	8019	13441	ceng/zeng
\u5e73	平	8010	8010	ping
\u6025	急	7980	7980	ji
\u6bb5	段	7980	7980	duan
\u5957	套	7960	7960	tao
