汉字	频次
锣	20
嗅	19
嗜	19
嗣	19
垒	19
妾	19
嬉	19
帐	19
掺	19
梧	19
氢	19
渝	19
炕	19
炫	19
甄	19
窘	19
膏	19
芸	19
薛	19
袱	19
诠	19
贿	19
馒	19
乞	18
佬	18
兀	18
兜	18
凹	18
匕	18
唉	18
嵌	18
拘	18
拯	18
挚	18
淑	18
漉	18
漓	18
熏	18
疤	18
眨	18
砂	18
磅	18
秆	18
秉	18
秸	18
筷	18
粥	18
糙	18
绽	18
缔	18
缚	18
耸	18
肾	18
芙	18
芜	18
苛	18
蹭	18
酯	18
阆	18
骏	18
黯	18
*	17
°	17
丐	17
俏	17
冈	17
冶	17
吱	17
咣	17
啃	17
啪	17
坂	17
塘	17
塾	17
墟	17
妪	17
婷	17
慑	17
拣	17
搓	17
摹	17
晌	17
杞	17
枉	17
梢	17
橡	17
氓	17
氨	17
浊	17
浦	17
烙	17
焰	17
瘾	17
祈	17
秃	17
窟	17
绰	17
罐	17
羹	17
翁	17
耦	17
蒜	17
蔑	17
藤	17
蛴	17
衙	17
觅	17
迄	17
酥	17
鑫	17
铸	17
锤	17
锯	17
陀	17
@	16
侃	16
凛	16
凰	16
劈	16
呐	16
哨	16
唠	16
啸	16
嗦	16
圭	16
孽	16
弈	16
悼	16
懦	16
捍	16
杠	16
栗	16
梭	16
樊	16
氮	16
沌	16
渺	16
溅	16
烁	16
狈	16
甫	16
瞒	16
笃	16
筛	16
缭	16
耽	16
脯	16
舱	16
苑	16
菊	16
蜿	16
诘	16
诧	16
诫	16
谴	16
轩	16
逾	16
镖	16
霄	16
颓	16
骢	16
髓	16
–	15
―	15
乓	15
亥	15
侄	15
傣	15
呕	15
堕	15
妒	15
嫣	15
尉	15
屎	15
庶	15
恳	15
扛	15
拇	15
挟	15
撮	15
攒	15
敷	15
昊	15
晴	15
朽	15
榻	15
毋	15
氿	15
泌	15
烛	15
焕	15
琦	15
畔	15
癖	15
盔	15
眷	15
睦	15
瞅	15
砌	15
祷	15
禀	15
窥	15
簇	15
粤	15
糗	15
耆	15
蛤	15
蜒	15
螬	15
蟆	15
诈	15
跷	15
蹿	15
逍	15
酿	15
锡	15
鹤	15
Ｄ	15
伽	14
侣	14
俺	14
倔	14
倚	14
兑	14
刁	14
卦	14
叼	14
咙	14
哧	14
唧	14
喇	14
埔	14
姊	14
婪	14
寝	14
崎	14
幢	14
忐	14
忑	14
惚	14
扦	14
拧	14
晤	14
晾	14
枸	14
栖	14
棘	14
楷	14
橘	14
浏	14
涡	14
溉	14
澄	14
灼	14
熄	14
熠	14
爪	14
琼	14
甬	14
皖	14
矢	14
磷	14
絮	14
绒	14
缪	14
翡	14
肋	14
蓉	14
虐	14
褐	14
襟	14
诀	14
赘	14
蹄	14
躬	14
酶	14
馅	14
Ｃ	14
倘	13
倩	13
冀	13
匿	13
呗	13
呜	13
哮	13
嚣	13
坷	13
嫂	13
嫡	13
巅	13
廖	13
怅	13
恪	13
悯	13
惮	13
惺	13
愕	13
憧	13
扳	13
抒	13
拂	13
摒	13
枣	13
汀	13
汝	13
涅	13
涕	13
渣	13
渲	13
滔	13
漪	13
珑	13
瑕	13
眶	13
眺	13
祟	13
禹	13
稼	13
窒	13
竿	13
筐	13
篱	13
粱	13
腺	13
葩	13
蜕	13
蜷	13
裴	13
跄	13
踉	13
酣	13
钧	13
钩	13
钮	13
阱	13
鞘	13
骇	13
鬟	13
鲟	13
鲨	13
５	13
侮	12
俨	12
剔	12
叩	12
呱	12
哆	12
嗒	12
噶	12
嚓	12
坞	12
婢	12
岔	12
弓	12
彬	12
怠	12
悍	12
悖	12
惭	12
懵	12
戮	12
戳	12
捆	12
掰	12
暇	12
暨	12
汶	12
沮	12
沼	12
洼	12
瀚	12
炽	12
烯	12
煽	12
狸	12
猩	12
疮	12
痢	12
瘫	12
眩	12
稽	12
筱	12
簌	12
羁	12
翩	12
聋	12
肴	12
艇	12
茬	12
萃	12
蕾	12
蚁	12
蚊	12
袅	12
裳	12
褪	12
詹	12
讳	12
豹	12
踹	12
辗	12
邸	12
郡	12
锥	12
闸	12
靡	12
饪	12
ｍ	12
亢	11
叭	11
呛	11
唾	11
啤	11
啰	11
嗡	11
嘎	11
噬	11
垦	11
巢	11
忱	11
慷	11
憎	11
憬	11
撇	11
斧	11
昵	11
殉	11
毙	11
汕	11
汹	11
沛	11
沥	11
涤	11
炬	11
煦	11
狡	11
疹	11
癞	11
皂	11
瞄	11
砰	11
稠	11
笋	11
筝	11
绚	11
缉	11
聆	11
胰	11
舔	11
苇	11
蜀	11
衅	11
觑	11
贮	11
赂	11
趾	11
跋	11
辘	11
迸	11
钓	11
钙	11
顷	11
颐	11
骆	11
Ｐ	11
─	10
〇	10
佐	10
剿	10
匪	10
匮	10
咄	10
咆	10
哩	10
唏	10
喀	10
噜	10
囧	10
坨	10
壑	10
妞	10
姥	10
嫉	10
屹	10
岌	10
岑	10
岱	10
徙	10
忒	10
悻	10
惴	10
抉	10
抿	10
捅	10
捣	10
揺	10
搂	10
暧	10
曦	10
杉	10
栈	10
棣	10
棱	10
榆	10
汛	10
汩	10
潘	10
烷	10
牡	10
犀	10
璀	10
璨	10
瓢	10
睐	10
瞳	10
硫	10
窍	10
筏	10
粼	10
糯	10
耷	10
耿	10
腭	10
舶	10
苔	10
茄	10
蓦	10
蛛	10
蟠	10
蟾	10
褥	10
觋	10
赎	10
踌	10
躇	10
辍	10
迦	10
酌	10
钝	10
阀	10
霆	10
靓	10
韶	10
馏	10
驯	10
鳌	10
龟	10
６	10
μ	9
仑	9
佟	9
冽	9
卵	9
厥	9
咦	9
嗔	9
娄	9
媛	9
岐	9
崀	9
帷	9
恤	9
恬	9
拮	9
捎	9
捶	9
掷	9
搐	9
撬	9
晞	9
晦	9
柿	9
梗	9
槚	9
汲	9
汾	9
洙	9
漱	9
漾	9
爰	9
狩	9
琅	9
疵	9
睽	9
矜	9
砺	9
砾	9
硅	9
硼	9
祉	9
笛	9
篆	9
绅	9
绊	9
绢	9
腋	9
腌	9
荧	9
蔚	9
蔼	9
蘸	9
譬	9
讪	9
诟	9
谕	9
贞	9
轧	9
辄	9
迥	9
钳	9
钾	9
锄	9
阂	9
隘	9
隽	9
靶	9
鞍	9
鸠	9
鹊	9
７	9
ｋ	9
q	8
①	8
乍	8
亟	8
俑	8
冕	8
叱	8
叽	8
吭	8
咚	8
啼	8
喳	8
喽	8
嘈	8
囱	8
垩	8
夭	8
姬	8
娟	8
娥	8
孰	8
峡	8
忡	8
惘	8
戍	8
扼	8
挎	8
揍	8
撩	8
晏	8
柠	8
楔	8
楠	8
榕	8
橙	8
殇	8
沂	8
沓	8
淇	8
淤	8
渍	8
澈	8
焊	8
狞	8
瑜	8
璇	8
甭	8
疙	8
瘩	8
瞻	8
竣	8
纫	8
缎	8
缰	8
肓	8
芭	8
茎	8
茜	8
荟	8
莠	8
葆	8
蚕	8
蛾	8
蝎	8
蝴	8
裱	8
诃	8
诛	8
诣	8
诲	8
谬	8
跤	8
辕	8
辙	8
醺	8
铿	8
锵	8
镑	8
雏	8
靴	8
骸	8
鳞	8
鸽	8
黛	8
＝	8
ａ	8
ｎ	8
}	7
§	7
±	7
χ	7
③	7
〉	7
仄	7
仕	7
伎	7
凋	7
凿	7
卒	7
呸	7
咏	7
嗨	7
噼	7
嚎	7
坳	7
奕	7
娴	7
宕	7
峒	7
庐	7
弛	7
弩	7
怦	7
恁	7
恃	7
悴	7
悸	7
憔	7
戊	7
扉	7
抠	7
拄	7
拴	7
捋	7
摁	7
擒	7
攘	7
斟	7
旭	7
昼	7
曙	7
曳	7
桧	7
榄	7
檬	7
渎	7
炊	7
烃	7
燎	7
牍	7
狰	7
猝	7
珀	7
珊	7
瓮	7
町	7
畸	7
痣	7
瘠	7
硖	7
礁	7
祠	7
秤	7
穹	7
笙	7
箍	7
篓	7
绞	7
绡	7
胺	7
舷	7
芥	7
苞	7
苢	7
萎	7
萦	7
蒲	7
薯	7
蚂	7
螃	7
裔	7
褒	7
讥	7
谛	7
赡	7
踊	7
蹊	7
轶	7
酋	7
铐	7
镶	7
阎	7
隅	7
颌	7
骋	7
鹫	7
黔	7
９	7
Ｓ	7
é	6
α	6
亘	6
亵	6
佼	6
侥	6
俘	6
冢	6
刨	6
匈	6
匾	6
叻	6
吆	6
吝	6
呻	6
咪	6
咿	6
哉	6
嗲	6
噌	6
噎	6
囔	6
坤	6
坯	6
埠	6
壕	6
奄	6
奎	6
娆	6
娓	6
婧	6
屯	6
帚	6
恣	6
恹	6
惆	6
惦	6
懋	6
抡	6
拷	6
搀	6
擂	6
攥	6
旎	6
旖	6
朕	6
朦	6
枷	6
桎	6
梏	6
椰	6
榨	6
橄	6
殴	6
泞	6
浣	6
淆	6
淫	6
渤	6
滁	6
潺	6
瀑	6
烬	6
焯	6
犁	6
犒	6
犷	6
猃	6
璋	6
璞	6
璧	6
瞟	6
瞠	6
碉	6
碱	6
碾	6
磺	6
礴	6
禧	6
禳	6
稞	6
穗	6
窦	6
窿	6
竒	6
篡	6
簿	6
肇	6
肮	6
胚	6
胧	6
胯	6
茁	6
茧	6
茵	6
荻	6
荼	6
莘	6
葵	6
蔫	6
蕻	6
蛰	6
蜓	6
蜗	6
蜻	6
讷	6
诅	6
诙	6
谙	6
谚	6
谧	6
贻	6
赝	6
跺	6
踝	6
踽	6
蹑	6
遐	6
邯	6
邵	6
邹	6
酗	6
酰	6
醚	6
钊	6
钠	6
钰	6
铠	6
铬	6
镀	6
闽	6
阙	6
陨	6
鞠	6
颅	6
颧	6
飙	6
饯	6
髋	6
鲤	6
鹃	6
ｒ	6
ü	5
λ	5
②	5
〈	5
が	5
丨	5
俐	5
偎	5
卯	5
厮	5
吠	5
呃	5
咎	5
咤	5
唬	5
唰	5
喋	5
嗖	5
嗵	5
嘹	5
嚼	5
囹	5
妩	5
娅	5
娲	5
嫦	5
宦	5
寅	5
峙	5
幺	5
庵	5
彝	5
徊	5
徘	5
忏	5
憨	5
憩	5
懊	5
扈	5
拈	5
掇	5
搡	5
摞	5
撵	5
昙	5
晟	5
杳	5
梓	5
殆	5
氤	5
氲	5
沅	5
沽	5
泯	5
洱	5
涧	5
涸	5
淄	5
漩	5
濛	5
炖	5
炙	5
烽	5
煲	5
犴	5
猖	5
猥	5
琥	5
琰	5
瑶	5
瘟	5
癫	5
皙	5
睫	5
瞑	5
瞰	5
砼	5
秧	5
稣	5
稹	5
窸	5
箩	5
籽	5
粟	5
糅	5
紊	5
纨	5
绥	5
绮	5
绯	5
羟	5
耘	5
脓	5
臆	5
苟	5
荃	5
莽	5
菇	5
菱	5
蔷	5
藻	5
蜘	5
蝠	5
蠕	5
褶	5
诿	5
豌	5
豚	5
赁	5
跛	5
逅	5
邂	5
邑	5
邡	5
鄂	5
酮	5
酵	5
醛	5
铢	5
镯	5
隋	5
雁	5
雌	5
霁	5
霓	5
髻	5
黝	5
％	5
８	5
Ｂ	5
Ｎ	5
Ｙ	5
ｉ	5
ｘ	5
ｙ	5
ｚ	5
{	4
‰	4
′	4
④	4
○	4
き	4
は	4
佯	4
侪	4
俸	4
俾	4
倏	4
偃	4
偌	4
偕	4
傀	4
冗	4
刍	4
剁	4
劁	4
劼	4
匐	4
匣	4
叟	4
哐	4
哺	4
哽	4
唆	4
唑	4
啬	4
啷	4
啻	4
喔	4
喵	4
噗	4
噻	4
嚅	4
囫	4
囵	4
圃	4
圄	4
垠	4
壹	4
夙	4
奂	4
奚	4
姝	4
姹	4
婊	4
媲	4
嫔	4
嬗	4
孪	4
寇	4
尧	4
屿	4
岖	4
峭	4
崽	4
弋	4
彤	4
彪	4
忖	4
怵	4
恻	4
悚	4
惰	4
慵	4
戌	4
戬	4
戾	4
拫	4
掸	4
撂	4
擞	4
攸	4
斓	4
於	4
暄	4
枋	4
枫	4
栩	4
桀	4
桔	4
桨	4
梆	4
椭	4
榭	4
樨	4
檀	4
殃	4
殡	4
沁	4
泵	4
洎	4
洽	4
浉	4
涝	4
潦	4
澎	4
濑	4
濒	4
炳	4
焙	4
玮	4
琨	4
琶	4
瑾	4
痪	4
瘪	4
盅	4
盎	4
睨	4
睬	4
矗	4
矬	4
祁	4
祛	4
穈	4
窈	4
窕	4
窖	4
竜	4
筠	4
筵	4
箕	4
籁	4
缙	4
罂	4
罔	4
羌	4
羔	4
羲	4
翌	4
翎	4
聂	4
胛	4
胱	4
腴	4
膺	4
臊	4
臻	4
茹	4
荠	4
荤	4
菁	4
菅	4
蓟	4
蕃	4
薰	4
蘑	4
虞	4
蚌	4
蝉	4
袂	4
袄	4
褂	4
襄	4
訇	4
诬	4
谆	4
谟	4
赃	4
赊	4
赦	4
跻	4
踮	4
踵	4
蹴	4
轭	4
辇	4
逞	4
逮	4
遁	4
遛	4
遢	4
邃	4
邋	4
郸	4
鄄	4
酝	4
铎	4
铝	4
锂	4
锲	4
闫	4
阑	4
阖	4
霏	4
霖	4
韭	4
飨	4
饕	4
饷	4
馊	4
馋	4
驸	4
驹	4
髦	4
鳖	4
鸥	4
鸯	4
鸳	4
龊	4
龌	4
	4
＋	4
Ｆ	4
ｐ	4
$	3
Δ	3
Ω	3
∈	3
≥	3
丞	3
仃	3
仨	3
佶	3
匍	3
卤	3
厩	3
呋	3
呦	3
咀	3
咫	3
咻	3
哝	3
啄	3
啜	3
嗞	3
嗤	3
嗫	3
嗷	3
嘭	3
噔	3
噘	3
噢	3
囤	3
囿	3
垛	3
垣	3
堰	3
妊	3
妍	3
妓	3
妲	3
娠	3
娩	3
娼	3
婀	3
婕	3
宸	3
寐	3
峥	3
崮	3
帛	3
幂	3
弭	3
忪	3
怆	3
恙	3
恚	3
惋	3
惬	3
懑	3
懿	3
扪	3
捻	3
掣	3
搪	3
摈	3
撸	3
擀	3
杈	3
柬	3
桓	3
桢	3
榈	3
槐	3
槟	3
毡	3
氽	3
沏	3
浒	3
浚	3
涎	3
涣	3
涪	3
淸	3
淼	3
渥	3
湃	3
湓	3
湮	3
濡	3
炷	3
煊	3
煜	3
犰	3
狙	3
狳	3
猿	3
玠	3
琵	3
瑏	3
璜	3
瓒	3
瓿	3
甥	3
疴	3
痊	3
痍	3
痰	3
痼	3
瘆	3
皎	3
盹	3
瞭	3
砚	3
砥	3
砭	3
祯	3
秽	3
窣	3
笆	3
笠	3
箓	3
箔	3
箫	3
篙	3
篝	3
簧	3
粑	3
纂	3
绔	3
绺	3
缄	3
缜	3
罡	3
罹	3
羧	3
聱	3
肄	3
肛	3
胍	3
胫	3
脐	3
腑	3
腩	3
膈	3
臃	3
舀	3
芮	3
茉	3
荔	3
莅	3
莺	3
菠	3
萘	3
萤	3
萱	3
蒴	3
蓑	3
虏	3
蚤	3
蝗	3
衩	3
袤	3
裆	3
褓	3
褴	3
襁	3
觐	3
讣	3
诋	3
诏	3
谏	3
谑	3
貂	3
赈	3
趄	3
趔	3
跶	3
踞	3
踱	3
蹂	3
躏	3
轱	3
轼	3
辋	3
迂	3
迩	3
遑	3
遴	3
邝	3
酚	3
酲	3
釉	3
钇	3
钵	3
铆	3
锒	3
锢	3
阈	3
阪	3
阮	3
陲	3
隼	3
雊	3
鞢	3
顗	3
颔	3
飓	3
餮	3
饵	3
驭	3
驮	3
鹉	3
鹘	3
鹦	3
麾	3
黠	3
鼾	3
龇	3
龈	3
龚	3
	3
Ｅ	3
ｂ	3
ｅ	3
ｌ	3
\	2
|	2
γ	2
π	2
う	2
ひ	2
亳	2
伫	2
佝	2
佞	2
侩	2
侬	2
俪	2
倜	2
倪	2
偈	2
偻	2
傥	2
刽	2
剌	2
剜	2
勐	2
匝	2
卽	2
吮	2
咂	2
咔	2
咝	2
哒	2
唁	2
唢	2
唳	2
唷	2
啉	2
啐	2
啕	2
啶	2
嗬	2
嘤	2
嘬	2
噙	2
噱	2
嚏	2
坍	2
埂	2
堇	2
堑	2
壬	2
夔	2
姗	2
娑	2
嫖	2
嬛	2
孚	2
孬	2
孺	2
寘	2
寰	2
尕	2
尹	2
峋	2
峨	2
峪	2
嵘	2
嶙	2
幡	2
庾	2
弑	2
彦	2
徉	2
徜	2
徨	2
忉	2
忿	2
怂	2
怛	2
悤	2
悱	2
愫	2
戗	2
戢	2
拗	2
拚	2
挛	2
挲	2
捺	2
揄	2
搛	2
撅	2
敖	2
斐	2
旮	2
旯	2
昕	2
朿	2
枨	2
柘	2
桅	2
椽	2
楣	2
楹	2
榔	2
榷	2
槃	2
樑	2
樽	2
檩	2
殁	2
殒	2
殚	2
毂	2
毗	2
毹	2
氍	2
沣	2
沤	2
沱	2
泗	2
泱	2
泾	2
洇	2
涔	2
淅	2
淖	2
淙	2
渭	2
溟	2
溧	2
滟	2
漳	2
潋	2
潞	2
潸	2
濂	2
濯	2
炯	2
烊	2
烩	2
焗	2
熘	2
熨	2
爻	2
犊	2
犟	2
狷	2
猷	2
猾	2
獗	2
玖	2
玳	2
玷	2
珺	2
琊	2
琏	2
瑁	2
瑙	2
璟	2
畚	2
疡	2
痉	2
痔	2
痞	2
痩	2
痹	2
瘀	2
瘁	2
瘙	2
癸	2
皈	2
皑	2
皓	2
皲	2
盂	2
眬	2
睾	2
瞌	2
矍	2
矶	2
矸	2
矽	2
砣	2
砳	2
碓	2
碚	2
碜	2
碴	2
磐	2
稔	2
稷	2
竽	2
笤	2
篪	2
簪	2
粕	2
粳	2
糜	2
糠	2
纶	2
绌	2
绶	2
缈	2
缛	2
缟	2
缥	2
缨	2
罝	2
羯	2
羸	2
羼	2
翊	2
耄	2
肱	2
胄	2
胭	2
脍	2
腆	2
腱	2
腼	2
膘	2
膦	2
舂	2
舢	2
舵	2
艉	2
芃	2
芋	2
荸	2
莆	2
菘	2
菟	2
萼	2
葺	2
蔗	2
蕙	2
蕨	2
藓	2
藕	2
蘼	2
虱	2
蚜	2
蚩	2
蛀	2
蛟	2
觊	2
觎	2
觞	2
謦	2
讴	2
讹	2
诒	2
诶	2
谄	2
谥	2
谲	2
谶	2
赀	2
赅	2
赧	2
跆	2
踟	2
蹙	2
蹰	2
轳	2
辁	2
遽	2
郜	2
酐	2
釜	2
銮	2
钗	2
钹	2
铄	2
铛	2
铤	2
铮	2
锃	2
锌	2
锭	2
锰	2
锱	2
镁	2
镂	2
镊	2
镌	2
镍	2
镕	2
镪	2
镰	2
镳	2
闩	2
闳	2
阒	2
雳	2
霭	2
霹	2
靳	2
颚	2
飒	2
饨	2
饽	2
馁	2
馄	2
馑	2
骜	2
骞	2
骡	2
骥	2
骧	2
骶	2
骷	2
骼	2
髅	2
鬓	2
魃	2
魆	2
鲔	2
鲫	2
鳍	2
鳝	2
鹌	2
鹑	2
鹜	2
麒	2
鼐	2
龃	2
龅	2
龉	2
	2
／	2
＜	2
＞	2
Ｉ	2
Ｑ	2
Ｔ	2
Ｗ	2
ｊ	2
á	1
í	1
ˉ	1
Σ	1
Φ	1
ε	1
ρ	1
″	1
Ⅰ	1
Ⅱ	1
≈	1
≤	1
⑤	1
⑥	1
⑧	1
⑵	1
〃	1
い	1
ふ	1
ょ	1
ヶ	1
丟	1
丱	1
丼	1
乂	1
亍	1
伉	1
伧	1
佉	1
佚	1
侔	1
俎	1
俚	1
俟	1
俣	1
俳	1
倥	1
倭	1
偬	1
傩	1
僭	1
僮	1
儆	1
儡	1
兖	1
冼	1
刎	1
剋	1
剐	1
剽	1
単	1
卞	1
卨	1
厝	1
叁	1
叵	1
吡	1
呓	1
呔	1
呶	1
呷	1
咛	1
唔	1
啓	1
啮	1
啵	1
喆	1
喑	1
喟	1
嗐	1
嗑	1
嗝	1
嗪	1
嘚	1
嘞	1
嘣	1
嘧	1
噤	1
囍	1
圜	1
圪	1
坻	1
垭	1
埕	1
堞	1
塍	1
墀	1
墁	1
墉	1
墒	1
壇	1
壎	1
夥	1
姒	1
姣	1
娈	1
媾	1
嫫	1
嬅	1
嬴	1
孀	1
孑	1
孖	1
孱	1
孳	1
宥	1
寤	1
寮	1
尻	1
屣	1
岀	1
峤	1
峦	1
島	1
崁	1
崑	1
嵇	1
嵋	1
嵒	1
嵩	1
嵴	1
巗	1
巳	1
巻	1
巽	1
帏	1
帙	1
帼	1
幄	1
庑	1
庖	1
庠	1
廿	1
弁	1
弢	1
弼	1
彗	1
彳	1
彷	1
徇	1
徕	1
徵	1
忤	1
怍	1
怙	1
恸	1
恿	1
愍	1
慄	1
懔	1
戎	1
戟	1
扱	1
抟	1
抨	1
挝	1
挞	1
捯	1
捱	1
掂	1
掬	1
掲	1
掴	1
揆	1
揋	1
揖	1
揩	1
揶	1
搔	1
搧	1
撷	1
撺	1
擘	1
擢	1
攝	1
攫	1
敝	1
斡	1
旌	1
旳	1
旻	1
昶	1
昺	1
晗	1
晩	1
晳	1
暌	1
暵	1
暹	1
曜	1
書	1
杵	1
枞	1
枥	1
枭	1
枱	1
柁	1
柚	1
柩	1
栀	1
栉	1
栎	1
桡	1
桦	1
棂	1
椿	1
楞	1
楫	1
楸	1
榉	1
榛	1
榫	1
槅	1
槡	1
橇	1
橐	1
欸	1
歼	1
殓	1
毽	1
氩	1
氰	1
汆	1
汍	1
汐	1
汴	1
泠	1
泷	1
洌	1
洹	1
浜	1
涑	1
涓	1
涫	1
淬	1
渌	1
渚	1
湍	1
湎	1
溘	1
滂	1
滆	1
滕	1
潍	1
潟	1
潢	1
澍	1
澥	1
瀛	1
炝	1
烜	1
烨	1
焐	1
焖	1
煳	1
煸	1
熹	1
燮	1
牒	1
牦	1
犄	1
狎	1
狴	1
猕	1
猬	1
獠	1
獭	1
玺	1
珈	1
珞	1
琚	1
瑗	1
瑚	1
瑛	1
瑠	1
瑦	1
瑧	1
瑨	1
瑸	1
瓔	1
瓠	1
瓴	1
畦	1
疥	1
疱	1
痤	1
痨	1
痫	1
痱	1
瘴	1
癔	1
癣	1
癯	1
皿	1
盱	1
眙	1
睎	1
睥	1
瞇	1
砀	1
砜	1
硌	1
碣	1
磔	1
磬	1
祗	1
祚	1
祺	1
禾	1
窅	1
窠	1
竺	1
笥	1
箜	1
箧	1
箴	1
箸	1
篌	1
篾	1
籼	1
粲	1
粽	1
粿	1
糌	1
糨	1
絲	1
網	1
纡	1
纭	1
纰	1
绀	1
绁	1
绻	1
缂	1
缇	1
缤	1
缧	1
缱	1
罄	1
翚	1
翟	1
翱	1
翳	1
耨	1
胥	1
脔	1
脘	1
腈	1
腘	1
膻	1
臜	1
臼	1
臾	1
舐	1
舛	1
舠	1
舴	1
艋	1
芍	1
芡	1
芴	1
苋	1
苒	1
苓	1
苜	1
茏	1
茴	1
荀	1
荏	1
荨	1
荪	1
莒	1
莓	1
莳	1
菉	1
菰	1
菽	1
萁	1
葉	1
蒽	1
蒿	1
蓼	1
蓿	1
蔺	1
蔻	1
蕊	1
蕞	1
蕲	1
薅	1
薨	1
薳	1
藐	1
藿	1
蘖	1
虬	1
虺	1
蚍	1
蚝	1
蚣	1
蚧	1
蚱	1
蚴	1
蚵	1
蛉	1
蛊	1
蜃	1
蜈	1
蜉	1
蜚	1
蝼	1
螂	1
螓	1
螟	1
蟑	1
蟒	1
蠹	1
衄	1
衢	1
衲	1
裘	1
裛	1
裨	1
褊	1
褛	1
襦	1
觍	1
觥	1
觫	1
觳	1
評	1
說	1
謇	1
讦	1
讧	1
诌	1
诨	1
诩	1
诽	1
谀	1
谍	1
谒	1
谝	1
谡	1
谪	1
谯	1
谵	1
豺	1
貅	1
貔	1
賽	1
贲	1
赇	1
赣	1
赭	1
趸	1
趺	1
趿	1
跎	1
跩	1
蹉	1
蹋	1
蹚	1
蹶	1
載	1
轫	1
轵	1
辻	1
迤	1
遒	1
遨	1
邬	1
邱	1
郓	1
酩	1
酪	1
酺	1
醍	1
醐	1
醪	1
醮	1
鋆	1
鎏	1
鏖	1
钚	1
钯	1
钴	1
铏	1
铙	1
铡	1
铧	1
铱	1
锏	1
锺	1
镋	1
镏	1
镗	1
镞	1
镣	1
镫	1
镭	1
闰	1
闵	1
阄	1
阉	1
阊	1
阍	1
阡	1
陂	1
陇	1
陸	1
隄	1
隳	1
雩	1
霎	1
靛	1
靥	1
韪	1
韬	1
頋	1
頔	1
颞	1
颦	1
風	1
飚	1
饧	1
饬	1
馍	1
馥	1
驷	1
驿	1
骁	1
骈	1
骛	1
骟	1
骹	1
髀	1
髭	1
髯	1
鬈	1
鬏	1
魇	1
鲇	1
鲑	1
鲢	1
鲮	1
鲲	1
鳅	1
鳏	1
鳗	1
鳙	1
鳜	1
鸢	1
鸩	1
鸱	1
鸵	1
鸷	1
鸹	1
鸾	1
鹗	1
麐	1
麿	1
黉	1
黜	1
黩	1
黹	1
鼬	1
齑	1
龛	1
龢	1
Ａ	1
Ｈ	1
Ｋ	1
Ｌ	1
Ｍ	1
Ｘ	1
Ｚ	1
ｆ	1
ｈ	1
｜	1
