NO	PHRASE	DPIWN	TDPIWN	PERCENT	TPERCENT	JDICT
330	山	283	396134	0.03735323	52.28580628	*
331	父親	283	396417	0.03735323	52.32315951	*
332	作品	283	396700	0.03735323	52.36051274	*
333	國	282	396982	0.03722124	52.39773398	*
334	一點	280	397262	0.03695726	52.43469124	*
335	錢	279	397541	0.03682527	52.47151651	*
336	認識	278	397819	0.03669328	52.50820979	*
337	少	277	398096	0.03656129	52.54477108	*
338	事情	277	398373	0.03656129	52.58133237	*
339	結果	277	398650	0.03656129	52.61789366	*
340	回家	275	398925	0.03629731	52.65419097	*
341	別人	274	399199	0.03616532	52.69035629	*
342	終於	274	399473	0.03616532	52.72652161	*
343	食物	273	399746	0.03603332	52.76255493	*
344	常	272	400018	0.03590133	52.79845626	*
345	笑	271	400289	0.03576934	52.83422560	*
346	成為	270	400559	0.03563735	52.86986295	
347	早	269	400828	0.03550536	52.90536831	*
348	如何	268	401096	0.03537337	52.94074168	*
349	顆	268	401364	0.03537337	52.97611505	*
350	內容	267	401631	0.03524138	53.01135643	*
351	歲	267	401898	0.03524138	53.04659781	*
352	加	266	402164	0.03510939	53.08170720	*
353	環境	266	402430	0.03510939	53.11681659	*
354	形成	265	402695	0.03497740	53.15179399	*
355	能夠	265	402960	0.03497740	53.18677139	*
356	人們	264	403224	0.03484541	53.22161680	*
357	不知道	264	403488	0.03484541	53.25646221	*
358	空氣	262	403750	0.03458143	53.29104364	*
359	使用	261	404011	0.03444944	53.32549308	*
360	塊	261	404272	0.03444944	53.35994252	*
361	至	260	404532	0.03431745	53.39425997	*
362	連	259	404791	0.03418546	53.42844543	*
363	久	258	405049	0.03405347	53.46249890	*
364	方式	258	405307	0.03405347	53.49655237	*
365	校	258	405565	0.03405347	53.53060584	*
366	過去	256	405821	0.03378949	53.56439533	*
367	部分	255	406076	0.03365750	53.59805283	*
368	較	253	406329	0.03339352	53.63144635	*
369	類	253	406582	0.03339352	53.66483987	*
370	人類	251	406833	0.03312954	53.69796941	*
371	約	251	407084	0.03312954	53.73109895	*
372	準備	251	407335	0.03312954	53.76422849	*
373	臉	251	407586	0.03312954	53.79735803	*
374	白	250	407836	0.03299755	53.83035558	*
375	造句	250	408086	0.03299755	53.86335313	*
376	答	250	408336	0.03299755	53.89635068	*
377	需要	250	408586	0.03299755	53.92934823	*
378	重	249	408835	0.03286556	53.96221379	*
379	突然	247	409082	0.03260158	53.99481537	*
380	跳	247	409329	0.03260158	54.02741695	*
381	牠們	245	409574	0.03233760	54.05975455	*
382	幫	245	409819	0.03233760	54.09209215	*
383	完成	244	410063	0.03220561	54.12429776	*
384	不但	243	410306	0.03207362	54.15637138	*
385	題	243	410549	0.03207362	54.18844500	*
386	倍	242	410791	0.03194163	54.22038663	*
387	畢業	242	411033	0.03194163	54.25232826	*
388	乙	240	411273	0.03167765	54.28400591	*
389	受	240	411513	0.03167765	54.31568356	*
390	觀察	240	411753	0.03167765	54.34736121	*
391	地區	239	411992	0.03154566	54.37890687	*
392	哈	238	412230	0.03141367	54.41032054	*
393	哇	236	412466	0.03114969	54.44147023	*
394	首	236	412702	0.03114969	54.47261992	*
395	腳	236	412938	0.03114969	54.50376961	*
396	生	235	413173	0.03101770	54.53478731	*
397	立刻	235	413408	0.03101770	54.56580501	*
398	記	234	413642	0.03088571	54.59669072	*
399	愈	234	413876	0.03088571	54.62757643	*
400	因	233	414109	0.03075372	54.65833015	*
401	同時	233	414342	0.03075372	54.68908387	*
402	滿	233	414575	0.03075372	54.71983759	*
403	樣子	233	414808	0.03075372	54.75059131	*
404	該	231	415039	0.03048974	54.78108105	*
405	下列	230	415269	0.03035775	54.81143880	*
406	教	230	415499	0.03035775	54.84179655	*
407	天氣	227	415726	0.02996178	54.87175833	*
408	主要	227	415953	0.02996178	54.90172011	*
409	健康	227	416180	0.02996178	54.93168189	*
410	影響	227	416407	0.02996178	54.96164367	*
411	令	226	416633	0.02982979	54.99147346	*
412	最後	226	416859	0.02982979	55.02130325	*
413	藝術	225	417084	0.02969780	55.05100105	*
414	後來	224	417308	0.02956581	55.08056686	*
415	我國	223	417531	0.02943381	55.11000067	*
416	其中	223	417754	0.02943381	55.13943448	
417	行	222	417976	0.02930182	55.16873630	*
418	重要	222	418198	0.02930182	55.19803812	*
419	填寫	222	418420	0.02930182	55.22733994	*
420	怎樣	221	418641	0.02916983	55.25650977	*
421	特別	221	418862	0.02916983	55.28567960	*
422	一般	220	419082	0.02903784	55.31471744	*
423	以及	220	419302	0.02903784	55.34375528	*
424	注意	220	419522	0.02903784	55.37279312	*
425	產生	220	419742	0.02903784	55.40183096	*
426	部	220	419962	0.02903784	55.43086880	*
427	努力	219	420181	0.02890585	55.45977465	*
428	穿	219	420400	0.02890585	55.48868050	*
429	魚	219	420619	0.02890585	55.51758635	*
430	變化	219	420838	0.02890585	55.54649220	*
431	兒童	218	421056	0.02877386	55.57526606	*
432	海	218	421274	0.02877386	55.60403992	*
433	鳥	217	421491	0.02864187	55.63268179	*
434	單元	217	421708	0.02864187	55.66132366	*
435	門	216	421924	0.02850988	55.68983354	*
436	接	216	422140	0.02850988	55.71834342	*
437	進行	216	422356	0.02850988	55.74685330	*
438	讀書	214	422570	0.02824590	55.77509920	*
439	國王	213	422783	0.02811391	55.80321311	*
