序號,詞目,詞頻,累計詞頻,百分比,累計百分比
459,原,173,335322,0.02802500,54.32022368
460,軟體,173,335495,0.02802500,54.34824868
461,這樣,173,335668,0.02802500,54.37627368
462,繼續,173,335841,0.02802500,54.40429868
463,警方,173,336014,0.02802500,54.43232368
464,十分,172,336186,0.02786300,54.46018668
465,即使,172,336358,0.02786300,54.48804969
466,改變,172,336530,0.02786300,54.51591269
467,接,172,336702,0.02786300,54.54377570
468,度,171,336873,0.02770101,54.57147671
469,透過,170,337043,0.02753902,54.59901572
470,幾乎,170,337213,0.02753902,54.62655474
471,依,169,337382,0.02737702,54.65393176
472,然後,169,337551,0.02737702,54.68130878
473,有些,168,337719,0.02721503,54.70852381
474,例如,168,337887,0.02721503,54.73573884
475,強調,168,338055,0.02721503,54.76295387
476,道,168,338223,0.02721503,54.79016890
477,電話,168,338391,0.02721503,54.81738392
478,頭,168,338559,0.02721503,54.84459895
479,一起,167,338726,0.02705303,54.87165198
480,生,167,338893,0.02705303,54.89870502
481,轉,167,339060,0.02705303,54.92575805
482,主,164,339224,0.02656705,54.95232510
483,配合,164,339388,0.02656705,54.97889215
484,準備,164,339552,0.02656705,55.00545920
485,解決,164,339716,0.02656705,55.03202626
486,比賽,163,339879,0.02640506,55.05843131
487,提出,163,340042,0.02640506,55.08483637
488,開發,163,340205,0.02640506,55.11124143
489,嚴重,163,340368,0.02640506,55.13764648
490,似乎,161,340529,0.02608107,55.16372755
491,別,161,340690,0.02608107,55.18980862
492,組,161,340851,0.02608107,55.21588969
493,雖,161,341012,0.02608107,55.24197076
494,左右,160,341172,0.02591907,55.26788983
495,住,160,341332,0.02591907,55.29380891
496,基金,160,341492,0.02591907,55.31972798
497,支,159,341651,0.02575708,55.34548506
498,生產,159,341810,0.02575708,55.37124214
499,美,159,341969,0.02575708,55.39699922
500,健康,159,342128,0.02575708,55.42275630
501,國民黨,159,342287,0.02575708,55.44851338
502,人士,158,342445,0.02559509,55.47410846
503,事實,158,342603,0.02559509,55.49970355
504,重,158,342761,0.02559509,55.52529864
505,情形,158,342919,0.02559509,55.55089372
506,狀況,157,343076,0.02543309,55.57632681
507,專業,157,343233,0.02543309,55.60175991
508,現象,157,343390,0.02543309,55.62719300
509,隊,157,343547,0.02543309,55.65262609
510,獲,157,343704,0.02543309,55.67805918
511,程式,156,343860,0.02527110,55.70333028
512,覺,156,344016,0.02527110,55.72860137
513,季,155,344171,0.02510910,55.75371048
514,何,154,344325,0.02494711,55.77865759
515,吧,154,344479,0.02494711,55.80360470
516,並且,154,344633,0.02494711,55.82855180
517,寫,154,344787,0.02494711,55.85349891
518,女,153,344940,0.02478511,55.87828403
519,畫,153,345093,0.02478511,55.90306914
520,內容,152,345245,0.02462312,55.92769226
521,消費者,152,345397,0.02462312,55.95231538
522,然而,151,345548,0.02446113,55.97677651
523,超過,151,345699,0.02446113,56.00123764
524,感,151,345850,0.02446113,56.02569876
525,初,150,346000,0.02429913,56.04999789
526,致,150,346150,0.02429913,56.07429703
527,隻,150,346300,0.02429913,56.09859616
528,運動,150,346450,0.02429913,56.12289529
529,需求,150,346600,0.02429913,56.14719442
530,價,150,346750,0.02429913,56.17149355
531,仍然,149,346899,0.02413714,56.19563069
532,方,149,347048,0.02413714,56.21976783
533,投資人,149,347197,0.02413714,56.24390497
534,改,149,347346,0.02413714,56.26804211
535,引起,148,347494,0.02397514,56.29201725
536,演出,148,347642,0.02397514,56.31599239
537,稱,148,347790,0.02397514,56.33996754
538,標準,148,347938,0.02397514,56.36394268
539,共,147,348085,0.02381315,56.38775583
540,客戶,147,348232,0.02381315,56.41156898
541,案,147,348379,0.02381315,56.43538213
542,壓力,147,348526,0.02381315,56.45919528
543,覺得,147,348673,0.02381315,56.48300843
544,兩岸,146,348819,0.02365116,56.50665958
545,員工,146,348965,0.02365116,56.53031074
546,執行,146,349111,0.02365116,56.55396189
547,獲得,146,349257,0.02365116,56.57761305
548,發,145,349402,0.02348916,56.60110221
549,億,145,349547,0.02348916,56.62459137
550,同樣,144,349691,0.02332717,56.64791854
551,成立,144,349835,0.02332717,56.67124570
552,所有,144,349979,0.02332717,56.69457287
553,為什麼,144,350123,0.02332717,56.71790004
554,原本,144,350267,0.02332717,56.74122720
555,換,144,350411,0.02332717,56.76455437
556,年輕,143,350554,0.02316517,56.78771954
557,相信,143,350697,0.02316517,56.81088472
558,因素,142,350839,0.02300318,56.83388789
559,安全,142,350981,0.02300318,56.85689107
560,球,142,351123,0.02300318,56.87989425
561,報,142,351265,0.02300318,56.90289743
562,談,142,351407,0.02300318,56.92590061
563,邊,142,351549,0.02300318,56.94890379
564,加入,141,351690,0.02284118,56.97174497
565,努力,141,351831,0.02284118,56.99458615
566,改善,141,351972,0.02284118,57.01742734
567,指,141,352113,0.02284118,57.04026852
568,故事,141,352254,0.02284118,57.06310971
569,精神,141,352395,0.02284118,57.08595089
570,角色,140,352535,0.02267919,57.10863008
571,拍,140,352675,0.02267919,57.13130927
572,東西,140,352815,0.02267919,57.15398846
573,條,140,352955,0.02267919,57.17666765
574,式,139,353094,0.02251720,57.19918485
575,成本,139,353233,0.02251720,57.22170204
576,聲,139,353372,0.02251720,57.24421924
577,之後,138,353510,0.02235520,57.26657444
578,路,138,353648,0.02235520,57.28892964
579,工程,137,353785,0.02219321,57.31112285
580,合作,137,353922,0.02219321,57.33331605
581,此外,137,354059,0.02219321,57.35550926
582,老師,137,354196,0.02219321,57.37770247
583,系列,137,354333,0.02219321,57.39989568
584,情緒,137,354470,0.02219321,57.42208888
585,款,137,354607,0.02219321,57.44428209
586,群,137,354744,0.02219321,57.46647530
587,餘,137,354881,0.02219321,57.48866850
588,學生,137,355018,0.02219321,57.51086171
589,口,136,355154,0.02203121,57.53289293
590,套,136,355290,0.02203121,57.55492414
591,基本,136,355426,0.02203121,57.57695535
592,球員,136,355562,0.02203121,57.59898656
