八、九十年代台灣字頻統計

單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
四	164		5	808	0.1228%	343797	51.45%	223	69.69%
表	165		8	801	0.1218%	344598	51.57%	223	69.69%
原	257		10	576	0.08756%	345174	61.02%	223	69.69%
位	197		7	710	0.1079%	345884	55.20%	222	69.38%
望	233		11	630	0.09577%	346514	58.82%	221	69.06%
目	217		5	655	0.09957%	347169	57.26%	220	68.75%
立	148		5	886	0.1347%	348055	49.39%	219	68.44%
風	182		9	741	0.1126%	348796	53.56%	219	68.44%
界	191		9	717	0.109%	349513	54.55%	219	68.44%
滿	308		14	481	0.07312%	349994	65.05%	219	68.44%
公	135		4	951	0.1446%	350945	47.57%	218	68.13%
什	184		4	733	0.1114%	351678	53.78%	218	68.13%
物	160		8	834	0.1268%	352512	50.96%	216	67.50%
解	241		13	615	0.09349%	353127	59.58%	216	67.50%
總	195		17	713	0.1084%	353840	54.99%	214	66.88%
直	305		8	483	0.07343%	354323	64.83%	214	66.88%
名	204		6	680	0.1034%	355003	55.94%	213	66.56%
加	216		5	655	0.09957%	355658	57.16%	213	66.56%
太	225		4	645	0.09805%	356303	58.05%	213	66.56%
則	228		9	637	0.09684%	356940	58.34%	212	66.25%
先	231		6	632	0.09608%	357572	58.63%	212	66.25%
未	253		5	581	0.08832%	358153	60.66%	212	66.25%
單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
民	61		5	1697	0.258%	359850	33.66%	211	65.94%
手	201		4	703	0.1069%	360553	55.63%	211	65.94%
光	211		6	663	0.1008%	361216	56.66%	211	65.94%
接	300		11	489	0.07434%	361705	64.46%	210	65.63%
合	186		6	729	0.1108%	362434	54.00%	208	65.00%
比	286		4	507	0.07707%	362941	63.40%	208	65.00%
走	180		7	752	0.1143%	363693	53.33%	207	64.69%
言	214		7	660	0.1003%	364353	56.96%	207	64.69%
提	218		12	654	0.09942%	365007	57.36%	207	64.69%
機	230		16	633	0.09623%	365640	58.53%	207	64.69%
深	267		11	552	0.08391%	366192	61.88%	207	64.69%
話	239		13	619	0.0941%	366811	59.39%	206	64.38%
視	251		12	587	0.08924%	367398	60.49%	206	64.38%
做	256		11	576	0.08756%	367974	60.93%	206	64.38%
別	285		7	507	0.07707%	368481	63.32%	206	64.38%
非	310		8	476	0.07236%	368957	65.19%	206	64.38%
任	229		6	634	0.09638%	369591	58.43%	205	64.06%
流	240		9	618	0.09395%	370209	59.48%	205	64.06%
期	258		12	576	0.08756%	370785	61.10%	205	64.06%
即	303		7	484	0.07358%	371269	64.68%	205	64.06%
覺	278		20	527	0.08011%	371796	62.77%	204	63.75%
反	279		4	525	0.07981%	372321	62.85%	204	63.75%
口	280		3	525	0.07981%	372846	62.93%	204	63.75%
失	289		5	504	0.07662%	373350	63.63%	204	63.75%
且	307		5	481	0.07312%	373831	64.97%	204	63.75%
思	322		9	453	0.06886%	374284	66.04%	203	63.44%
水	188		4	724	0.1101%	375008	54.22%	202	63.13%
往	277		8	527	0.08011%	375535	62.69%	202	63.13%
給	301		12	489	0.07434%	376024	64.53%	202	63.13%
五	198		4	709	0.1078%	376733	55.31%	201	62.81%
月	199		4	707	0.1075%	377440	55.42%	201	62.81%
題	196		18	713	0.1084%	378153	55.09%	200	62.50%
場	247		12	599	0.09106%	378752	60.13%	200	62.50%
曾	282		12	513	0.07799%	379265	63.09%	200	62.50%
該	324		13	452	0.06871%	379717	66.18%	200	62.50%
認	246		14	601	0.09136%	380318	60.04%	199	62.19%
雖	365		17	397	0.06035%	380715	68.82%	199	62.19%
每	224		7	646	0.0982%	381361	57.95%	198	61.88%
色	261		6	573	0.08711%	381934	61.37%	198	61.88%
傳	271		13	539	0.08194%	382473	62.21%	197	61.56%
影	274		15	530	0.08057%	383003	62.45%	197	61.56%
清	294		11	496	0.0754%	383499	64.01%	197	61.56%
愛	133		13	975	0.1482%	384474	47.27%	196	61.25%
部	222		10	649	0.09866%	385123	57.75%	196	61.25%
論	245		15	603	0.09167%	385726	59.95%	196	61.25%
遠	268		13	548	0.08331%	386274	61.96%	196	61.25%
讓	325		24	450	0.06841%	386724	66.25%	196	61.25%
第	259		11	576	0.08756%	387300	61.19%	195	60.94%
放	264		8	566	0.08604%	387866	61.62%	195	60.94%
觀	209		25	666	0.1012%	388532	56.46%	194	60.63%
安	215		6	658	0.100%	389190	57.06%	194	60.63%
路	226		13	639	0.09714%	389829	58.14%	194	60.63%
命	212		8	663	0.1008%	390492	56.76%	193	60.31%
形	265		7	563	0.08559%	391055	61.71%	193	60.31%
整	342		16	430	0.06537%	391485	67.38%	193	60.31%
步	350		7	421	0.064%	391906	67.89%	193	60.31%
白	242		5	614	0.09334%	392520	59.67%	191	59.69%
各	243		6	610	0.09273%	393130	59.76%	191	59.69%
切	352		4	415	0.06309%	393545	68.02%	191	59.69%
老	152		6	875	0.133%	394420	49.92%	190	59.38%
