單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
究	452		7	309	0.04697%	483318	73.47%	127	39.69%
乎	453		5	308	0.04682%	483626	73.52%	167	52.19%
夢	454		14	308	0.04682%	483934	73.57%	107	33.44%
夫	455		4	308	0.04682%	484242	73.61%	118	36.88%
歷	456		16	308	0.04682%	484550	73.66%	152	47.50%
馬	457		10	308	0.04682%	484858	73.71%	132	41.25%
價	458		15	306	0.04652%	485164	73.75%	111	34.69%
土	459		3	305	0.04637%	485469	73.80%	125	39.06%
聯	460		17	304	0.04621%	485773	73.85%	119	37.19%
術	461		11	302	0.04591%	486075	73.89%	118	36.88%
軍	462		9	302	0.04591%	486377	73.94%	81	25.31%
較	463		13	302	0.04591%	486679	73.98%	139	43.44%
願	464		19	302	0.04591%	486981	74.03%	144	45.00%
格	465		10	301	0.04576%	487282	74.08%	145	45.31%
顯	466		23	301	0.04576%	487583	74.12%	159	49.69%
錢	467		16	300	0.04561%	487883	74.17%	97	30.31%
希	468		7	299	0.04545%	488182	74.21%	148	46.25%
