六十年代大陸字頻統計

單字	序號	部首	筆劃	頻次	頻率	累積
頻次	累積
頻率	見檔次	見檔率
興	496		16	287	0.04334%	453661	77.36%	125	38.23%
嚴	510		20	278	0.04199%	453939	77.95%	125	38.23%
辦	424		16	350	0.05286%	454289	73.91%	124	37.92%
覺	427		20	349	0.05271%	454638	74.07%	124	37.92%
照	469		13	307	0.04637%	454945	76.15%	124	37.92%
何	537		7	260	0.03927%	455205	79.05%	124	37.92%
勝	360		12	412	0.06222%	455617	70.25%	123	37.61%
與	361		14	408	0.06162%	456025	70.31%	123	37.61%
報	368		12	401	0.06056%	456426	70.73%	123	37.61%
積	452		16	328	0.04954%	456754	75.34%	123	37.61%
教	208		11	698	0.1054%	457452	58.08%	122	37.31%
記	298		10	491	0.07415%	457943	66.06%	122	37.31%
收	395		6	377	0.05694%	458320	72.32%	122	37.31%
快	409		7	363	0.05482%	458683	73.11%	122	37.31%
非	437		8	337	0.0509%	459020	74.59%	122	37.31%
調	461		15	314	0.04742%	459334	75.77%	122	37.31%
離	465		18	311	0.04697%	459645	75.96%	122	37.31%
裝	481		13	298	0.04501%	459943	76.69%	122	37.31%
除	603		9	220	0.03323%	460163	81.44%	122	37.31%
求	333		7	442	0.06675%	460605	68.50%	121	37.00%
青	297		8	495	0.07476%	461100	65.98%	120	36.70%
安	347		6	428	0.06464%	461528	69.42%	120	36.70%
里	363		7	404	0.06101%	461932	70.43%	120	36.70%
列	364		6	403	0.06086%	462335	70.49%	120	36.70%
堅	376		11	395	0.05966%	462730	71.22%	120	36.70%
確	369		15	400	0.06041%	463130	70.80%	119	36.39%
勞	370		12	399	0.06026%	463529	70.86%	119	36.39%
消	563		10	244	0.03685%	463773	80.04%	119	36.39%
即	589		7	229	0.03459%	464002	80.96%	119	36.39%
增	422		15	350	0.05286%	464352	73.81%	118	36.09%
半	425		5	349	0.05271%	464701	73.97%	118	36.09%
談	463		15	313	0.04727%	465014	75.87%	118	36.09%
早	471		6	306	0.04621%	465320	76.24%	118	36.09%
夠	522		11	269	0.04063%	465589	78.45%	118	36.09%
席	195		10	746	0.1127%	466335	56.68%	117	35.78%
聽	318		22	459	0.06932%	466794	67.48%	117	35.78%
歷	373		16	398	0.06011%	467192	71.04%	117	35.78%
烈	499		10	285	0.04304%	467477	77.49%	117	35.78%
計	332		9	443	0.0669%	467920	68.43%	116	35.47%
住	346		7	431	0.06509%	468351	69.36%	116	35.47%
派	358		9	416	0.06283%	468767	70.12%	116	35.47%
程	444		12	331	0.04999%	469098	74.94%	116	35.47%
破	448		10	330	0.04984%	469428	75.14%	116	35.47%
充	557		5	248	0.03745%	469676	79.81%	116	35.47%
甚	309		9	469	0.07083%	470145	66.85%	115	35.17%
象	312		12	466	0.07038%	470611	67.06%	115	35.17%
批	355		7	419	0.06328%	471030	69.93%	115	35.17%
議	472		20	306	0.04621%	471336	76.29%	115	35.17%
眼	286		11	522	0.07884%	471858	65.14%	114	34.86%
質	356		15	419	0.06328%	472277	70.00%	114	34.86%
愛	375		13	397	0.05996%	472674	71.16%	114	34.86%
