單字	序號	部首	筆劃	頻次	頻率	累積頻次	累積頻率	見檔次	見檔率
服	458		8	315	0.04757%	500769	75.63%	100	30.58%
權	459		22	315	0.04757%	501084	75.68%	71	21.71%
參	460		11	314	0.04742%	501398	75.72%	135	41.28%
調	461		15	314	0.04742%	501712	75.77%	122	37.31%
圍	462		12	313	0.04727%	502025	75.82%	108	33.03%
談	463		15	313	0.04727%	502338	75.87%	118	36.09%
親	464		16	312	0.04712%	502650	75.91%	105	32.11%
離	465		18	311	0.04697%	502961	75.96%	122	37.31%
畫	466		12	310	0.04682%	503271	76.01%	47	14.37%
蘇	467		20	309	0.04667%	503580	76.05%	80	24.46%
吃	468		6	308	0.04652%	503888	76.10%	73	22.32%
照	469		13	307	0.04637%	504195	76.15%	124	37.92%
容	470		10	306	0.04621%	504501	76.19%	134	40.98%
早	471		6	306	0.04621%	504807	76.24%	118	36.09%
議	472		20	306	0.04621%	505113	76.29%	115	35.17%
友	473		4	305	0.04606%	505418	76.33%	88	26.91%
師	474		10	305	0.04606%	505723	76.38%	57	17.43%
廠	475		15	303	0.04576%	506026	76.42%	85	25.99%
黃	476		12	303	0.04576%	506329	76.47%	77	23.55%
創	477		12	299	0.04516%	506628	76.51%	95	29.05%
怎	478		9	299	0.04516%	506927	76.56%	109	33.33%
較	479		13	299	0.04516%	507226	76.60%	109	33.33%
張	480		11	298	0.04501%	507524	76.65%	111	33.94%
裝	481		13	298	0.04501%	507822	76.69%	122	37.31%
台	482		5	297	0.04485%	508119	76.74%	70	21.41%
雲	483		12	297	0.04485%	508416	76.78%	62	18.96%
族	484		11	296	0.0447%	508712	76.83%	73	22.32%
講	485		17	296	0.0447%	509008	76.87%	101	30.89%
局	486		7	295	0.04455%	509303	76.92%	93	28.44%
詞	487		12	295	0.04455%	509598	76.96%	31	9.48%
錯	488		16	294	0.0444%	509892	77.01%	83	25.38%
則	489		9	293	0.04425%	510185	77.05%	108	33.03%
跟	490		13	290	0.0438%	510475	77.10%	83	25.38%
緊	491		14	289	0.04365%	510764	77.14%	127	38.84%
轉	492		18	289	0.04365%	511053	77.18%	106	32.42%
魚	493		11	289	0.04365%	511342	77.23%	39	11.93%
委	494		8	288	0.0435%	511630	77.27%	83	25.38%
規	495		11	288	0.0435%	511918	77.31%	99	30.28%
興	496		16	287	0.04334%	512205	77.36%	125	38.23%
始	497		8	286	0.04319%	512491	77.40%	135	41.28%
似	498		7	285	0.04304%	512776	77.44%	85	25.99%
烈	499		10	285	0.04304%	513061	77.49%	117	35.78%
病	500		10	285	0.04304%	513346	77.53%	69	21.10%
商	501		11	284	0.04289%	513630	77.57%	58	17.74%
李	502		7	284	0.04289%	513914	77.61%	48	14.68%
略	503		11	284	0.04289%	514198	77.66%	101	30.89%
元	504		4	283	0.04274%	514481	77.70%	61	18.65%
號	505		13	283	0.04274%	514764	77.74%	102	31.19%
採	506		11	281	0.04244%	515045	77.79%	109	33.33%
況	507		8	281	0.04244%	515326	77.83%	107	32.72%
節	508		13	280	0.04229%	515606	77.87%	106	32.42%
輕	509		14	280	0.04229%	515886	77.91%	101	30.89%
嚴	510		20	278	0.04199%	516164	77.95%	125	38.23%
城	511		9	278	0.04199%	516442	78.00%	76	23.24%
陽	512		11	278	0.04199%	516720	78.04%	83	25.38%
歡	513		22	275	0.04153%	516995	78.08%	110	33.64%
肥	514		8	275	0.04153%	517270	78.12%	40	12.23%
音	515		9	275	0.04153%	517545	78.16%	69	21.10%
濟	516		17	274	0.04138%	517819	78.20%	75	22.94%
醫	517		18	273	0.04123%	518092	78.25%	33	10.09%
材	518		7	271	0.04093%	518363	78.29%	71	21.71%
響	519		21	271	0.04093%	518634	78.33%	112	34.25%
孩	520		9	270	0.04078%	518904	78.37%	46	14.07%
約	521		9	270	0.04078%	519174	78.41%	102	31.19%
夠	522		11	269	0.04063%	519443	78.45%	118	36.09%
座	523		10	269	0.04063%	519712	78.49%	85	25.99%
密	524		11	267	0.04032%	519979	78.53%	105	32.11%
技	525		7	267	0.04032%	520246	78.57%	85	25.99%
腳	526		13	267	0.04032%	520513	78.61%	76	23.24%
舞	527		14	265	0.04002%	520778	78.65%	70	21.41%
侵	528		9	264	0.03987%	521042	78.69%	76	23.24%
倒	529		10	264	0.03987%	521306	78.73%	100	30.58%
夫	530		4	264	0.03987%	521570	78.77%	79	24.16%
洲	531		9	264	0.03987%	521834	78.81%	51	15.60%
便	532		9	263	0.03972%	522097	78.85%	109	33.33%
夜	533		8	263	0.03972%	522360	78.89%	79	24.16%
誤	534		14	262	0.03957%	522622	78.93%	64	19.57%
恩	535		10	261	0.03942%	522883	78.97%	33	10.09%
京	536		8	260	0.03927%	523143	79.01%	71	21.71%
何	537		7	260	0.03927%	523403	79.05%	124	37.92%
係	538		9	260	0.03927%	523663	79.09%	67	20.49%
段	539		9	260	0.03927%	523923	79.13%	102	31.19%
雨	540		8	259	0.03912%	524182	79.17%	76	23.24%
太	541		4	258	0.03896%	524440	79.20%	103	31.50%
曾	542		12	257	0.03881%	524697	79.24%	114	34.86%
層	543		15	256	0.03866%	524953	79.28%	80	24.46%
專	544		11	255	0.03851%	525208	79.32%	95	29.05%
抗	545		7	255	0.03851%	525463	79.36%	96	29.36%
油	546		8	254	0.03836%	525717	79.40%	64	19.57%
証	547		12	254	0.03836%	525971	79.44%	67	20.49%
句	548		5	253	0.03821%	526224	79.47%	71	21.71%
該	549		13	253	0.03821%	526477	79.51%	97	29.66%
雙	550		18	253	0.03821%	526730	79.55%	69	21.10%
勢	551		13	251	0.03791%	526981	79.59%	111	33.94%
推	552		11	251	0.03791%	527232	79.63%	98	29.97%
棋	553		12	251	0.03791%	527483	79.66%	12	3.67%
幣	554		14	250	0.03776%	527733	79.70%	6	1.84%
燈	555		16	249	0.03761%	527982	79.74%	46	14.07%
鮮	556		17	249	0.03761%	528231	79.78%	71	21.71%
充	557		5	248	0.03745%	528479	79.81%	116	35.47%
漢	558		14	247	0.0373%	528726	79.85%	56	17.13%
剛	559		10	245	0.037%	528971	79.89%	81	24.77%
單	560		12	245	0.037%	529216	79.93%	110	33.64%
德	561		15	245	0.037%	529461	79.96%	89	27.22%
備	562		12	244	0.03685%	529705	80.00%	109	33.33%
消	563		10	244	0.03685%	529949	80.04%	119	36.39%
壓	564		17	243	0.0367%	530192	80.07%	104	31.80%
府	565		8	243	0.0367%	530435	80.11%	82	25.08%
吧	566		7	242	0.03655%	530677	80.15%	66	20.18%
徹	567		14	242	0.03655%	530919	80.18%	83	25.38%
布	568		5	241	0.0364%	531160	80.22%	84	25.69%
念	569		8	241	0.0364%	531401	80.26%	84	25.69%
縣	570		16	241	0.0364%	531642	80.29%	56	17.13%
需	571		14	241	0.0364%	531883	80.33%	102	31.19%
士	572		3	239	0.0361%	532122	80.36%	84	25.69%
包	573		5	238	0.03594%	532360	80.40%	109	33.33%
讓	574		24	238	0.03594%	532598	80.44%	107	32.72%
準	575		13	237	0.03579%	532835	80.47%	109	33.33%
突	576		9	236	0.03564%	533071	80.51%	86	26.30%
靠	577		15	236	0.03564%	533307	80.54%	94	28.75%
告	578		7	235	0.03549%	533542	80.58%	113	34.56%
游	579		12	235	0.03549%	533777	80.61%	85	25.99%
器	580		16	234	0.03534%	534011	80.65%	102	31.19%
苦	581		9	234	0.03534%	534245	80.69%	85	25.99%
判	582		7	233	0.03519%	534478	80.72%	66	20.18%
劃	583		14	233	0.03519%	534711	80.76%	88	26.91%
引	584		4	231	0.03489%	534942	80.79%	114	34.86%
木	585		4	231	0.03489%	535173	80.83%	73	22.32%
死	586		6	230	0.03474%	535403	80.86%	96	29.36%
省	587		9	230	0.03474%	535633	80.89%	90	27.52%
院	588		9	230	0.03474%	535863	80.93%	70	21.41%
即	589		7	229	0.03459%	536092	80.96%	119	36.39%
害	590		10	229	0.03459%	536321	81.00%	88	26.91%
續	591		21	229	0.03459%	536550	81.03%	110	33.64%
般	592		10	229	0.03459%	536779	81.07%	103	31.50%
貨	593		11	229	0.03459%	537008	81.10%	30	9.17%
敢	594		12	228	0.03443%	537236	81.14%	81	24.77%
細	595		11	227	0.03428%	537463	81.17%	99	30.28%
刻	596		8	226	0.03413%	537689	81.21%	93	28.44%
棉	597		12	226	0.03413%	537915	81.24%	29	8.87%
賽	598		17	226	0.03413%	538141	81.27%	29	8.87%
奇	599		8	225	0.03398%	538366	81.31%	82	25.08%
存	600		6	223	0.03368%	538589	81.34%	104	31.80%
掌	601		12	223	0.03368%	538812	81.38%	103	31.50%
貧	602		11	223	0.03368%	539035	81.41%	35	10.70%
除	603		9	220	0.03323%	539255	81.44%	122	37.31%
班	604		10	219	0.03307%	539474	81.48%	61	18.65%
副	605		11	218	0.03292%	539692	81.51%	81	24.77%
低	606		7	217	0.03277%	539909	81.54%	93	28.44%
宣	607		9	217	0.03277%	540126	81.57%	93	28.44%
衛	608		15	217	0.03277%	540343	81.61%	76	23.24%
讀	609		22	217	0.03277%	540560	81.64%	64	19.57%
項	610		12	217	0.03277%	540777	81.67%	78	23.85%
寧	611		14	215	0.03247%	540992	81.70%	72	22.02%
湖	612		12	215	0.03247%	541207	81.74%	41	12.54%
哪	613		10	214	0.03232%	541421	81.77%	75	22.94%
樂	614		15	214	0.03232%	541635	81.80%	73	22.32%
矛	615		5	214	0.03232%	541849	81.83%	52	15.90%
停	616		11	213	0.03217%	542062	81.87%	84	25.69%
注	617		8	213	0.03217%	542275	81.90%	110	33.64%
豬	618		11	212	0.03202%	542487	81.93%	15	4.59%
舊	619		18	211	0.03187%	542698	81.96%	83	25.38%
繼	620		20	209	0.03156%	542907	81.99%	106	32.42%
待	621		9	208	0.03141%	543115	82.02%	105	32.11%
算	622		14	208	0.03141%	543323	82.06%	82	25.08%
華	623		12	208	0.03141%	543531	82.09%	89	27.22%
唱	624		11	207	0.03126%	543738	82.12%	43	13.15%
富	625		12	207	0.03126%	543945	82.15%	99	30.28%
星	626		9	207	0.03126%	544152	82.18%	67	20.49%
標	627		15	207	0.03126%	544359	82.21%	89	27.22%
考	628		6	207	0.03126%	544566	82.24%	70	21.41%
份	629		6	206	0.03111%	544772	82.28%	97	29.66%
圖	630		14	206	0.03111%	544978	82.31%	97	29.66%
隻	631		10	205	0.03096%	545183	82.34%	64	19.57%
晚	632		11	204	0.03081%	545387	82.37%	92	28.13%
盾	633		9	204	0.03081%	545591	82.40%	45	13.76%
草	634		10	204	0.03081%	545795	82.43%	77	23.55%
司	635		5	203	0.03066%	545998	82.46%	70	21.41%
隨	636		15	203	0.03066%	546201	82.49%	106	32.42%
亮	637		9	202	0.03051%	546403	82.52%	68	20.80%
嗎	638		13	202	0.03051%	546605	82.55%	69	21.10%
